onset	duration	event_type	num_beads_high	num_beads_low	points_high	bead_type	bet_jar_type	button	initialVOI	updatedVOI
1.13760978699997	3.05402350500003	initial_beads	6	14	70	n/a	n/a	n/a	-1.9678294270774	n/a
6.24154775400007	1.31768641499991	extra_bead	n/a	n/a	70	low	n/a	n/a	-1.9678294270774	-1.94647871454116
8.11383905900004	0	additional_draw_allowed	6	15	70	n/a	n/a	n/a	-1.9678294270774	-1.94647871454116
9.46478426500005	0	terminate_draw	6	15	70	n/a	n/a	left	-1.9678294270774	n/a
10.02834706	0	bet	6	15	70	n/a	low	right	n/a	n/a
14.63751039	3.04633270900001	initial_beads	12	8	70	n/a	n/a	n/a	-1.65295917478599	n/a
18.4833918290001	0	bet	12	8	70	n/a	high	left	n/a	n/a
21.546950807	3.04898410199996	initial_beads	14	16	70	n/a	n/a	n/a	-0.869663288631855	n/a
26.1411972660001	1.19849076999992	extra_bead	n/a	n/a	70	high	n/a	n/a	-0.869663288631855	-0.809922418078171
27.893859315	0	additional_draw_allowed	15	16	70	n/a	n/a	n/a	-0.869663288631855	-0.809922418078171
28.738091208	0	terminate_draw	15	16	70	n/a	n/a	left	-0.869663288631855	n/a
29.44035793	0	bet	15	16	70	n/a	high	left	n/a	n/a
33.942580109	3.04898277400002	initial_beads	15	15	70	n/a	n/a	n/a	-0.908549141821781	n/a
37.998449937	0	bet	15	15	70	n/a	high	left	n/a	n/a
42.0572631380001	3.04926010299994	initial_beads	18	12	7	n/a	n/a	n/a	-1.61038043399938	n/a
45.891827388	0	bet	18	12	7	n/a	high	left	n/a	n/a
49.8949088860001	3.04567240899996	initial_beads	11	9	70	n/a	n/a	n/a	-1.39008283120292	n/a
54.038197309	0	bet	11	9	70	n/a	high	left	n/a	n/a
57.0426423500001	3.04566682099994	initial_beads	8	12	70	n/a	n/a	n/a	-1.32390665973505	n/a
60.9434590220001	0	bet	8	12	70	n/a	high	left	n/a	n/a
63.45124519	3.04589982200002	initial_beads	5	15	70	n/a	n/a	n/a	-1.89742428822289	n/a
67.038562369	1.16746150100005	extra_bead	n/a	n/a	70	low	n/a	n/a	-1.89742428822289	-1.84935502257263
68.274571112	0	additional_draw_allowed	5	16	70	n/a	n/a	n/a	-1.89742428822289	-1.84935502257263
69.0382711560001	0	terminate_draw	5	16	70	n/a	n/a	right	-1.89742428822289	n/a
69.6678968560001	0	bet	5	16	70	n/a	low	right	n/a	n/a
72.206271729	3.04958358600004	initial_beads	13	17	70	n/a	n/a	n/a	-1.32390665973505	n/a
75.30034878	1.17146635100005	extra_bead	n/a	n/a	70	high	n/a	n/a	-1.32390665973505	-1.06156710675566
78.5273321550001	0	additional_draw_allowed	14	17	70	n/a	n/a	n/a	-1.32390665973505	-1.06156710675566
79.420649839	0	terminate_draw	14	17	70	n/a	n/a	right	-1.32390665973505	n/a
80.124468662	0	bet	14	17	70	n/a	high	left	n/a	n/a
84.640387516	3.04474318099994	initial_beads	9	11	7	n/a	n/a	n/a	-0.869663288631855	n/a
89.7218531760001	0	bet	9	11	7	n/a	high	left	n/a	n/a
92.234958343	3.04431964900004	initial_beads	14	6	7	n/a	n/a	n/a	-1.86417958275177	n/a
96.5623421920001	0	bet	14	6	7	n/a	high	left	n/a	n/a
99.598449211	3.04937959900008	initial_beads	19	11	70	n/a	n/a	n/a	-1.86417958275177	n/a
102.692755087	1.18267710300006	extra_bead	n/a	n/a	70	high	n/a	n/a	-1.86417958275177	-2.12751860353776
105.430960885	0	additional_draw_allowed	20	11	70	n/a	n/a	n/a	-1.86417958275177	-2.12751860353776
106.960249018	0	terminate_draw	20	11	70	n/a	n/a	right	-1.86417958275177	n/a
107.856137285	0	bet	20	11	70	n/a	high	left	n/a	n/a
110.372563543	3.04956987100002	initial_beads	15	15	7	n/a	n/a	n/a	-0.908549141821781	n/a
114.46718149	1.17097902099999	extra_bead	n/a	n/a	7	low	n/a	n/a	-0.908549141821781	-0.809922418078171
117.193290481	0	additional_draw_allowed	15	16	7	n/a	n/a	n/a	-0.908549141821781	-0.809922418078171
118.750080915	0	terminate_draw	15	16	7	n/a	n/a	right	-0.908549141821781	n/a
119.633868639	0	bet	15	16	7	n/a	high	left	n/a	n/a
123.646670168	3.04620618600006	initial_beads	10	10	7	n/a	n/a	n/a	-0.908549141821781	n/a
126.735640465	1.15686153399997	extra_bead	n/a	n/a	7	low	n/a	n/a	-0.908549141821781	-0.809922418078171
128.944254779	0	additional_draw_allowed	10	11	7	n/a	n/a	n/a	-0.908549141821781	-0.809922418078171
130.040767896	0	terminate_draw	10	11	7	n/a	n/a	right	-0.908549141821781	n/a
131.218975282	0	bet	10	11	7	n/a	high	left	n/a	n/a
135.755471806	3.04978148499993	initial_beads	12	18	70	n/a	n/a	n/a	-1.79961680670884	n/a
140.032231493	0	bet	12	18	70	n/a	high	left	n/a	n/a
144.541352094	3.04942141700008	initial_beads	20	10	7	n/a	n/a	n/a	-2.37553074021502	n/a
148.135920359	1.18515696100008	extra_bead	n/a	n/a	7	high	n/a	n/a	-2.37553074021502	-2.52253133076282
149.382429724	0	additional_draw_allowed	21	10	7	n/a	n/a	n/a	-2.37553074021502	-2.52253133076282
150.397652608	0	terminate_draw	21	10	7	n/a	n/a	right	-2.37553074021502	n/a
151.145300776	0	bet	21	10	7	n/a	high	left	n/a	n/a
153.650736951	3.049544492	initial_beads	17	13	70	n/a	n/a	n/a	-1.65295917478599	n/a
156.745191389	1.15683118099992	extra_bead	n/a	n/a	70	low	n/a	n/a	-1.65295917478599	-1.58166614013995
157.957428747	0	additional_draw_allowed	17	14	70	n/a	n/a	n/a	-1.65295917478599	-1.58166614013995
159.171714003	0	terminate_draw	17	14	70	n/a	n/a	left	-1.65295917478599	n/a
160.284354145	0	bet	17	14	70	n/a	high	left	n/a	n/a
163.287659173	3.04977080200001	initial_beads	19	11	7	n/a	n/a	n/a	-1.86417958275177	n/a
166.882952969	1.16335513800004	extra_bead	n/a	n/a	7	low	n/a	n/a	-1.86417958275177	-1.67697607350893
169.601364583	0	additional_draw_allowed	19	12	7	n/a	n/a	n/a	-1.86417958275177	-1.67697607350893
170.864016074	0	terminate_draw	19	12	7	n/a	n/a	right	-1.86417958275177	n/a
171.575239242	0	bet	19	12	7	n/a	high	left	n/a	n/a
174.617512815	3.04957761499998	initial_beads	10	20	70	n/a	n/a	n/a	-1.89742428822289	n/a
179.211884141	1.16159140399998	extra_bead	n/a	n/a	70	high	n/a	n/a	-1.89742428822289	-1.94647871454116
181.928643842	0	additional_draw_allowed	11	20	70	n/a	n/a	n/a	-1.89742428822289	-1.94647871454116
182.737044745	0	terminate_draw	11	20	70	n/a	n/a	left	-1.89742428822289	n/a
183.378166627	0	bet	11	20	70	n/a	low	right	n/a	n/a
187.880689535	3.04859773700002	initial_beads	14	16	7	n/a	n/a	n/a	-0.869663288631855	n/a
191.474341729	1.15953076900007	extra_bead	n/a	n/a	7	high	n/a	n/a	-0.869663288631855	-0.809922418078171
193.689090776	0	additional_draw_allowed	15	16	7	n/a	n/a	n/a	-0.869663288631855	-0.809922418078171
194.809795884	0	terminate_draw	15	16	7	n/a	n/a	left	-0.869663288631855	n/a
195.692428204	0	bet	15	16	7	n/a	high	left	n/a	n/a
199.193264385	3.04985749000002	initial_beads	11	19	70	n/a	n/a	n/a	-1.9678294270774	n/a
204.288651355	1.16053854500001	extra_bead	n/a	n/a	70	low	n/a	n/a	-1.9678294270774	-1.94647871454116
206.004333182	0	additional_draw_allowed	11	20	70	n/a	n/a	n/a	-1.9678294270774	-1.94647871454116
206.756163536	0	terminate_draw	11	20	70	n/a	n/a	left	-1.9678294270774	n/a
207.668877283	0	bet	11	20	70	n/a	low	right	n/a	n/a
211.166482544	3.04542442399998	initial_beads	14	6	70	n/a	n/a	n/a	-1.86417958275177	n/a
215.080483056	0	bet	14	6	70	n/a	high	left	n/a	n/a
218.07723714	3.04619920199991	initial_beads	15	5	70	n/a	n/a	n/a	-2.37553074021502	n/a
222.665041906	1.15655628499997	extra_bead	n/a	n/a	70	low	n/a	n/a	-2.37553074021502	-2.12751860353776
224.373235092	0	additional_draw_allowed	15	6	70	n/a	n/a	n/a	-2.37553074021502	-2.12751860353776
225.143886295	0	terminate_draw	15	6	70	n/a	n/a	right	-2.37553074021502	n/a
