onset	duration	event_type	num_beads_high	num_beads_low	points_high	bead_type	bet_jar_type	button	initialVOI	updatedVOI
1.893146544	3.065917009	initial_beads	7	13	70	n/a	n/a	n/a	-1.79961680670884	n/a
6.174662647	0	bet	7	13	70	n/a	low	right	n/a	n/a
10.452317442	3.049401962	initial_beads	10	20	70	n/a	n/a	n/a	-1.89742428822289	n/a
14.740293872	0	bet	10	20	70	n/a	low	right	n/a	n/a
18.386977883	3.050755643	initial_beads	18	12	70	n/a	n/a	n/a	-1.61038043399938	n/a
22.293367252	0	bet	18	12	70	n/a	high	left	n/a	n/a
26.297389828	3.048135279	initial_beads	17	13	70	n/a	n/a	n/a	-1.65295917478599	n/a
30.210452533	0	bet	17	13	70	n/a	high	left	n/a	n/a
33.218556467	3.049390929	initial_beads	13	17	70	n/a	n/a	n/a	-1.32390665973505	n/a
36.31603048	1.195002903	extra_bead	n/a	n/a	70	low	n/a	n/a	-1.32390665973505	-1.58833812291982
39.567255054	0	additional_draw_allowed	13	18	70	n/a	n/a	n/a	-1.32390665973505	-1.58833812291982
42.237733677	0	terminate_draw	13	18	70	n/a	n/a	right	-1.32390665973505	n/a
43.848468317	0	bet	13	18	70	n/a	low	right	n/a	n/a
46.352464189	3.045946806	initial_beads	6	14	7	n/a	n/a	n/a	-1.9678294270774	n/a
50.443219779	1.15509493	extra_bead	n/a	n/a	7	low	n/a	n/a	-1.9678294270774	-1.94647871454116
52.649951824	0	additional_draw_allowed	6	15	7	n/a	n/a	n/a	-1.9678294270774	-1.94647871454116
54.277443736	0	terminate_draw	6	15	7	n/a	n/a	left	-1.9678294270774	n/a
54.863407732	0	bet	6	15	7	n/a	low	right	n/a	n/a
59.361485601	3.044162312	initial_beads	9	11	70	n/a	n/a	n/a	-0.869663288631855	n/a
64.447153643	1.177410568	extra_bead	n/a	n/a	70	high	n/a	n/a	-0.869663288631855	-0.809922418078171
66.175918937	0	additional_draw_allowed	10	11	70	n/a	n/a	n/a	-0.869663288631855	-0.809922418078171
68.105222394	0	terminate_draw	10	11	70	n/a	n/a	right	-0.869663288631855	n/a
69.899653449	0	bet	10	11	70	n/a	high	left	n/a	n/a
73.415043167	3.04572359399999	initial_beads	15	5	7	n/a	n/a	n/a	-2.37553074021502	n/a
76.503162074	1.16767608000001	extra_bead	n/a	n/a	7	low	n/a	n/a	-2.37553074021502	-2.12751860353776
77.738024955	0	additional_draw_allowed	15	6	7	n/a	n/a	n/a	-2.37553074021502	-2.12751860353776
79.035306246	0	terminate_draw	15	6	7	n/a	n/a	left	-2.37553074021502	n/a
79.907189843	0	bet	15	6	7	n/a	high	left	n/a	n/a
83.924720098	3.050995754	initial_beads	12	18	7	n/a	n/a	n/a	-1.79961680670884	n/a
88.520477226	1.171703717	extra_bead	n/a	n/a	7	low	n/a	n/a	-1.79961680670884	-1.92671863808989
90.747729205	0	additional_draw_allowed	12	19	7	n/a	n/a	n/a	-1.79961680670884	-1.92671863808989
92.32350548	0	terminate_draw	12	19	7	n/a	n/a	right	-1.79961680670884	n/a
92.832886429	0	bet	12	19	7	n/a	low	right	n/a	n/a
96.848379427	3.049340488	initial_beads	16	14	7	n/a	n/a	n/a	-1.39008283120292	n/a
100.810667756	0	bet	16	14	7	n/a	high	left	n/a	n/a
103.326399645	3.04831747599999	initial_beads	10	20	7	n/a	n/a	n/a	-1.89742428822289	n/a
107.58990171	0	bet	10	20	7	n/a	low	right	n/a	n/a
112.101424726	3.04573422800001	initial_beads	13	7	7	n/a	n/a	n/a	-1.61038043399938	n/a
116.688966112	1.166156024	extra_bead	n/a	n/a	7	high	n/a	n/a	-1.61038043399938	-1.67697607350893
118.906535598	0	additional_draw_allowed	14	7	7	n/a	n/a	n/a	-1.61038043399938	-1.67697607350893
120.808954402	0	terminate_draw	14	7	7	n/a	n/a	right	-1.61038043399938	n/a
121.426242668	0	bet	14	7	7	n/a	high	left	n/a	n/a
124.438939643	3.04945791400002	initial_beads	12	18	70	n/a	n/a	n/a	-1.79961680670884	n/a
127.53577034	1.15869798900002	extra_bead	n/a	n/a	70	high	n/a	n/a	-1.79961680670884	-1.58833812291982
130.250456552	0	additional_draw_allowed	13	18	70	n/a	n/a	n/a	-1.79961680670884	-1.58833812291982
131.735898043	0	additional_draw	n/a	n/a	70	high	n/a	right	-1.79961680670884	n/a
132.43227287	0	additional_draw	n/a	n/a	70	high	n/a	right	-1.79961680670884	n/a
132.82728751	0	additional_draw	n/a	n/a	70	high	n/a	right	-1.79961680670884	n/a
133.318083293	0	additional_draw	n/a	n/a	70	high	n/a	right	-1.79961680670884	n/a
133.782613043	0	additional_draw	n/a	n/a	70	high	n/a	right	-1.79961680670884	n/a
134.180460794	0	additional_draw	n/a	n/a	70	high	n/a	right	-1.79961680670884	n/a
134.774195498	0	terminate_draw	19	18	70	n/a	n/a	left	-1.79961680670884	n/a
