onset	duration	event_type	num_beads_high	num_beads_low	points_high	bead_type	bet_jar_type	button	initialVOI	updatedVOI
1.3299753	3.05580751399998	initial_beads	19	11	170	n/a	n/a	n/a	-1.81705013765952	n/a
5.47512359799998	0	bet	19	11	170	n/a	high	right	n/a	n/a
8.05287146499995	3.04910344400002	initial_beads	15	15	70	n/a	n/a	n/a	-0.138966595832955	n/a
11.943212884	0	bet	15	15	70	n/a	high	right	n/a	n/a
15.447208979	3.0460474759999	initial_beads	6	14	170	n/a	n/a	n/a	-1.138188793927	n/a
19.035780119	1.1772598419999	extra_bead	n/a	n/a	170	low	n/a	n/a	-1.138188793927	-1.3478457800959
20.265175878	0	additional_draw_allowed	6	15	170	n/a	n/a	n/a	-1.138188793927	-1.3478457800959
21.197108977	0	terminate_draw	6	15	170	n/a	n/a	left	-1.138188793927	n/a
21.640377191	0	bet	6	15	170	n/a	low	left	n/a	n/a
26.145623292	3.04610978000005	initial_beads	7	13	70	n/a	n/a	n/a	-0.589627797957679	n/a
29.234017293	1.15197850300001	extra_bead	n/a	n/a	70	low	n/a	n/a	-0.589627797957679	-0.876610606661621
30.937894807	0	additional_draw_allowed	7	14	70	n/a	n/a	n/a	-0.589627797957679	-0.876610606661621
31.8010747989999	0	terminate_draw	7	14	70	n/a	n/a	right	-0.589627797957679	n/a
32.248649498	0	bet	7	14	70	n/a	low	left	n/a	n/a
34.7557709819999	3.044917607	initial_beads	13	7	70	n/a	n/a	n/a	-1.49452550630108	n/a
38.6733090939999	0	bet	13	7	70	n/a	high	right	n/a	n/a
43.185606374	3.0459790939999	initial_beads	11	9	70	n/a	n/a	n/a	-0.60879559985906	n/a
46.7733882709999	1.15742713300006	extra_bead	n/a	n/a	70	low	n/a	n/a	-0.60879559985906	-0.359251370277085
49.981369565	0	additional_draw_allowed	11	10	70	n/a	n/a	n/a	-0.60879559985906	-0.359251370277085
51.912524694	0	additional_draw	n/a	n/a	70	low	n/a	right	-0.60879559985906	n/a
52.7606613299999	0	additional_draw	n/a	n/a	70	low	n/a	right	-0.60879559985906	n/a
53.590859228	0	additional_draw	n/a	n/a	70	high	n/a	right	-0.60879559985906	n/a
54.532439129	0	additional_draw	n/a	n/a	70	low	n/a	right	-0.60879559985906	n/a
55.0086885549999	0	terminate_draw	12	13	70	n/a	n/a	left	-0.60879559985906	n/a
55.391644845	0	bet	12	13	70	n/a	high	right	n/a	n/a
58.992405566	3.04839778999997	initial_beads	10	20	70	n/a	n/a	n/a	-1.4925306317869	n/a
63.005679792	0	bet	10	20	70	n/a	low	left	n/a	n/a
66.032693771	3.04606597099996	initial_beads	8	12	170	n/a	n/a	n/a	-0.0885128587302129	n/a
71.12060688	1.17470168700004	extra_bead	n/a	n/a	170	low	n/a	n/a	-0.0885128587302129	-0.313754982757747
72.3655599589999	0	additional_draw_allowed	8	13	170	n/a	n/a	n/a	-0.0885128587302129	-0.313754982757747
73.767529875	0	terminate_draw	8	13	170	n/a	n/a	right	-0.0885128587302129	n/a
74.174124258	0	bet	8	13	170	n/a	low	left	n/a	n/a
76.699888577	3.04590152999992	initial_beads	12	8	70	n/a	n/a	n/a	-1.09459050204685	n/a
79.78765317	1.16361865299996	extra_bead	n/a	n/a	70	low	n/a	n/a	-1.09459050204685	-0.859880583731738
83.004114143	0	additional_draw_allowed	12	9	70	n/a	n/a	n/a	-1.09459050204685	-0.859880583731738
83.895580249	0	terminate_draw	12	9	70	n/a	n/a	right	-1.09459050204685	n/a
84.300850517	0	bet	12	9	70	n/a	high	right	n/a	n/a
88.3156855459999	3.0447038210001	initial_beads	14	6	70	n/a	n/a	n/a	-1.81705013765952	n/a
93.402153929	1.192543183	extra_bead	n/a	n/a	70	high	n/a	n/a	-1.81705013765952	-1.94997974047832
96.147199331	0	additional_draw_allowed	15	6	70	n/a	n/a	n/a	-1.81705013765952	-1.94997974047832
96.833547944	0	terminate_draw	15	6	70	n/a	n/a	right	-1.81705013765952	n/a
97.140226019	0	bet	15	6	70	n/a	high	right	n/a	n/a
99.660657391	3.04967310200004	initial_beads	11	19	170	n/a	n/a	n/a	-1.138188793927	n/a
102.75559273	1.16856546500003	extra_bead	n/a	n/a	170	high	n/a	n/a	-1.138188793927	-0.876610606661621
105.481528677	0	additional_draw_allowed	12	19	170	n/a	n/a	n/a	-1.138188793927	-0.876610606661621
106.14739558	0	terminate_draw	12	19	170	n/a	n/a	left	-1.138188793927	n/a
106.544866915	0	bet	12	19	170	n/a	low	left	n/a	n/a
110.563437921	3.04631696600006	initial_beads	15	5	70	n/a	n/a	n/a	-2.05610688680499	n/a
114.150924491	1.17007423799998	extra_bead	n/a	n/a	70	low	n/a	n/a	-2.05610688680499	-1.94997974047832
115.873534158	0	additional_draw_allowed	15	6	70	n/a	n/a	n/a	-2.05610688680499	-1.94997974047832
116.619241638	0	terminate_draw	15	6	70	n/a	n/a	right	-2.05610688680499	n/a
116.945451671	0	bet	15	6	70	n/a	high	right	n/a	n/a
121.462364549	3.04672645300002	initial_beads	6	14	70	n/a	n/a	n/a	-1.138188793927	n/a
124.550646145	1.15962321200004	extra_bead	n/a	n/a	70	low	n/a	n/a	-1.138188793927	-1.3478457800959
125.769065717	0	additional_draw_allowed	6	15	70	n/a	n/a	n/a	-1.138188793927	-1.3478457800959
127.036863395	0	terminate_draw	6	15	70	n/a	n/a	right	-1.138188793927	n/a
127.535495154	0	bet	6	15	70	n/a	low	left	n/a	n/a
132.055796456	3.049419349	initial_beads	17	13	70	n/a	n/a	n/a	-1.09459050204685	n/a
135.150247089	1.16166018499996	extra_bead	n/a	n/a	70	high	n/a	n/a	-1.09459050204685	-1.30585515991628
136.867102287	0	additional_draw_allowed	18	13	70	n/a	n/a	n/a	-1.09459050204685	-1.30585515991628
137.854051752	0	terminate_draw	18	13	70	n/a	n/a	left	-1.09459050204685	n/a
138.289898736	0	bet	18	13	70	n/a	high	right	n/a	n/a
142.305138111	3.04975817399998	initial_beads	16	14	170	n/a	n/a	n/a	-0.60879559985906	n/a
145.900038096	1.16930298299997	extra_bead	n/a	n/a	170	high	n/a	n/a	-0.60879559985906	-0.859880583731738
148.625146565	0	additional_draw_allowed	17	14	170	n/a	n/a	n/a	-0.60879559985906	-0.859880583731738
149.57305339	0	terminate_draw	17	14	170	n/a	n/a	right	-0.60879559985906	n/a
149.901016024	0	bet	17	14	170	n/a	high	right	n/a	n/a
152.908974762	3.04515805799997	initial_beads	12	8	170	n/a	n/a	n/a	-1.09459050204685	n/a
157.258566582	0	bet	12	8	170	n/a	high	right	n/a	n/a
160.26680027	3.04603361199997	initial_beads	13	7	170	n/a	n/a	n/a	-1.49452550630108	n/a
164.176739837	0	bet	13	7	170	n/a	high	right	n/a	n/a
167.681936073	3.046524826	initial_beads	14	6	170	n/a	n/a	n/a	-1.81705013765952	n/a
172.270400388	1.15924305700003	extra_bead	n/a	n/a	170	high	n/a	n/a	-1.81705013765952	-1.94997974047832
175.480446494	0	additional_draw_allowed	15	6	170	n/a	n/a	n/a	-1.81705013765952	-1.94997974047832
176.290445754	0	terminate_draw	15	6	170	n/a	n/a	left	-1.81705013765952	n/a
176.740285699	0	bet	15	6	170	n/a	high	right	n/a	n/a
180.255988342	3.04644964499994	initial_beads	10	10	170	n/a	n/a	n/a	-0.138966595832955	n/a
184.870208744	0	bet	10	10	170	n/a	high	right	n/a	n/a
188.881946582	3.04939738100006	initial_beads	19	11	70	n/a	n/a	n/a	-1.81705013765952	n/a
192.828998986	0	bet	19	11	70	n/a	high	right	n/a	n/a
195.837039651	3.04690053900003	initial_beads	11	9	170	n/a	n/a	n/a	-0.60879559985906	n/a
200.925149501	1.15882943300005	extra_bead	n/a	n/a	170	high	n/a	n/a	-0.60879559985906	-0.859880583731738
203.136041506	0	additional_draw_allowed	12	9	170	n/a	n/a	n/a	-0.60879559985906	-0.859880583731738
204.148332851	0	terminate_draw	12	9	170	n/a	n/a	right	-0.60879559985906	n/a
204.58135804	0	bet	12	9	170	n/a	high	right	n/a	n/a
208.096326235	3.04951492299995	initial_beads	11	19	70	n/a	n/a	n/a	-1.138188793927	n/a
213.191161795	1.16177543000003	extra_bead	n/a	n/a	70	low	n/a	n/a	-1.138188793927	-1.3478457800959
216.408449587	0	additional_draw_allowed	11	20	70	n/a	n/a	n/a	-1.138188793927	-1.3478457800959
217.863752217	0	terminate_draw	11	20	70	n/a	n/a	right	-1.138188793927	n/a
218.142140358	0	bet	11	20	70	n/a	low	left	n/a	n/a
222.653033297	3.04888657699996	initial_beads	18	12	170	n/a	n/a	n/a	-1.49452550630108	n/a
