onset	duration	event_type	num_beads_high	num_beads_low	points_high	bead_type	bet_jar_type	button	initialVOI	updatedVOI
1.14575644000001	3.05573979100006	initial_beads	8	12	7	n/a	n/a	n/a	-1.32390665973505	n/a
5.07030623499998	0	bet	8	12	7	n/a	high	right	n/a	n/a
7.59668026200006	3.04665395799998	initial_beads	7	13	70	n/a	n/a	n/a	-1.79961680670884	n/a
11.371216588	0	bet	7	13	70	n/a	high	right	n/a	n/a
14.544634235	3.04960377200007	initial_beads	12	18	7	n/a	n/a	n/a	-1.79961680670884	n/a
17.6395014770001	1.19227198900001	extra_bead	n/a	n/a	7	high	n/a	n/a	-1.79961680670884	-1.58833812291982
19.886878539	0	additional_draw_allowed	13	18	7	n/a	n/a	n/a	-1.79961680670884	-1.58833812291982
20.635193083	0	terminate_draw	13	18	7	n/a	n/a	right	-1.79961680670884	n/a
20.9702466350001	0	bet	13	18	7	n/a	high	right	n/a	n/a
23.497276867	3.04932977200008	initial_beads	14	16	7	n/a	n/a	n/a	-0.869663288631855	n/a
27.091510069	1.18084352100004	extra_bead	n/a	n/a	7	high	n/a	n/a	-0.869663288631855	-0.809922418078171
28.827865342	0	additional_draw_allowed	15	16	7	n/a	n/a	n/a	-0.869663288631855	-0.809922418078171
29.353150883	0	terminate_draw	15	16	7	n/a	n/a	right	-0.869663288631855	n/a
29.6566847930001	0	bet	15	16	7	n/a	high	right	n/a	n/a
32.7554238270001	3.04893111199999	initial_beads	20	10	70	n/a	n/a	n/a	-2.37553074021502	n/a
36.350130875	1.18308177000006	extra_bead	n/a	n/a	70	low	n/a	n/a	-2.37553074021502	-2.12751860353776
39.5880124190001	0	additional_draw_allowed	20	11	70	n/a	n/a	n/a	-2.37553074021502	-2.12751860353776
40.234752567	0	terminate_draw	20	11	70	n/a	n/a	right	-2.37553074021502	n/a
40.5892693650001	0	bet	20	11	70	n/a	high	right	n/a	n/a
44.597042118	3.04456896900001	initial_beads	7	13	7	n/a	n/a	n/a	-1.79961680670884	n/a
49.183573794	1.15884768000001	extra_bead	n/a	n/a	7	low	n/a	n/a	-1.79961680670884	-1.92671863808989
50.399974474	0	additional_draw_allowed	7	14	7	n/a	n/a	n/a	-1.79961680670884	-1.92671863808989
51.215268006	0	terminate_draw	7	14	7	n/a	n/a	left	-1.79961680670884	n/a
51.602584192	0	bet	7	14	7	n/a	high	right	n/a	n/a
54.6105475190001	3.04623046699999	initial_beads	5	15	7	n/a	n/a	n/a	-1.89742428822289	n/a
58.436440872	0	bet	5	15	7	n/a	low	left	n/a	n/a
62.456737747	3.04623899900002	initial_beads	11	9	7	n/a	n/a	n/a	-1.39008283120292	n/a
66.555108282	0	bet	11	9	7	n/a	high	right	n/a	n/a
70.579729821	3.04865353900004	initial_beads	16	14	70	n/a	n/a	n/a	-1.39008283120292	n/a
73.675105531	1.170594747	extra_bead	n/a	n/a	70	high	n/a	n/a	-1.39008283120292	-1.58166614013995
75.401768829	0	additional_draw_allowed	17	14	70	n/a	n/a	n/a	-1.39008283120292	-1.58166614013995
76.113367067	0	terminate_draw	17	14	70	n/a	n/a	right	-1.39008283120292	n/a
76.4870500520001	0	bet	17	14	70	n/a	high	right	n/a	n/a
79.5098295060001	3.05018437299998	initial_beads	19	11	7	n/a	n/a	n/a	-1.86417958275177	n/a
82.6061543660001	1.16912836799997	extra_bead	n/a	n/a	7	low	n/a	n/a	-1.86417958275177	-1.67697607350893
85.331785232	0	additional_draw_allowed	19	12	7	n/a	n/a	n/a	-1.86417958275177	-1.67697607350893
86.0881073740001	0	terminate_draw	19	12	7	n/a	n/a	right	-1.86417958275177	n/a
86.492442301	0	bet	19	12	7	n/a	high	right	n/a	n/a
89.511272265	3.04994083300005	initial_beads	13	17	70	n/a	n/a	n/a	-1.32390665973505	n/a
94.108109615	1.17041160799999	extra_bead	n/a	n/a	70	high	n/a	n/a	-1.32390665973505	-1.06156710675566
97.334387685	0	additional_draw_allowed	14	17	70	n/a	n/a	n/a	-1.32390665973505	-1.06156710675566
97.938956094	0	terminate_draw	14	17	70	n/a	n/a	right	-1.32390665973505	n/a
98.2880556050001	0	bet	14	17	70	n/a	high	right	n/a	n/a
102.804266237	3.04531959200006	initial_beads	15	5	70	n/a	n/a	n/a	-2.37553074021502	n/a
