onset	duration	event_type	num_beads_high	num_beads_low	points_high	bead_type	bet_jar_type	button	initialVOI	updatedVOI
1.84611241	3.06625251	initial_beads	11	9	7	n/a	n/a	n/a	-1.39008283120292	n/a
5.880191888	0	bet	11	9	7	n/a	high	left	n/a	n/a
9.66867632600001	3.04995547999999	initial_beads	15	15	70	n/a	n/a	n/a	-0.908549141821781	n/a
12.770136484	1.214601335	extra_bead	n/a	n/a	70	high	n/a	n/a	-0.908549141821781	-1.13178054515916
15.543711938	0	additional_draw_allowed	16	15	70	n/a	n/a	n/a	-0.908549141821781	-1.13178054515916
16.565491549	0	terminate_draw	16	15	70	n/a	n/a	right	-0.908549141821781	n/a
17.013257287	0	bet	16	15	70	n/a	high	left	n/a	n/a
20.096227646	3.049655212	initial_beads	12	18	70	n/a	n/a	n/a	-1.79961680670884	n/a
23.691231094	1.162777164	extra_bead	n/a	n/a	70	high	n/a	n/a	-1.79961680670884	-1.58833812291982
26.410550557	0	additional_draw_allowed	13	18	70	n/a	n/a	n/a	-1.79961680670884	-1.58833812291982
26.912551445	0	terminate_draw	13	18	70	n/a	n/a	right	-1.79961680670884	n/a
27.161716635	0	bet	13	18	70	n/a	high	left	n/a	n/a
29.716459679	3.049553694	initial_beads	10	20	7	n/a	n/a	n/a	-1.89742428822289	n/a
33.813712816	1.202595363	extra_bead	n/a	n/a	7	low	n/a	n/a	-1.89742428822289	-1.84935502257263
37.072606335	0	additional_draw_allowed	10	21	7	n/a	n/a	n/a	-1.89742428822289	-1.84935502257263
37.84233033	0	terminate_draw	10	21	7	n/a	n/a	left	-1.89742428822289	n/a
38.275483324	0	bet	10	21	7	n/a	high	left	n/a	n/a
42.282930392	3.045802159	initial_beads	15	5	7	n/a	n/a	n/a	-2.37553074021502	n/a
46.370681667	1.16101301800001	extra_bead	n/a	n/a	7	high	n/a	n/a	-2.37553074021502	-2.52253133076282
49.084672087	0	additional_draw_allowed	16	5	7	n/a	n/a	n/a	-2.37553074021502	-2.52253133076282
49.857492207	0	terminate_draw	16	5	7	n/a	n/a	right	-2.37553074021502	n/a
50.202800588	0	bet	16	5	7	n/a	high	left	n/a	n/a
54.709774769	3.04584349500001	initial_beads	13	7	7	n/a	n/a	n/a	-1.61038043399938	n/a
59.529315127	0	bet	13	7	7	n/a	high	left	n/a	n/a
64.036751199	3.04555994900002	initial_beads	11	9	70	n/a	n/a	n/a	-1.39008283120292	n/a
68.004422571	0	bet	11	9	70	n/a	high	left	n/a	n/a
71.517059145	3.04912111100001	initial_beads	10	20	70	n/a	n/a	n/a	-1.89742428822289	n/a
75.111226768	1.178009694	extra_bead	n/a	n/a	70	high	n/a	n/a	-1.89742428822289	-1.94647871454116
76.363527181	0	additional_draw_allowed	11	20	70	n/a	n/a	n/a	-1.89742428822289	-1.94647871454116
77.058965791	0	terminate_draw	11	20	70	n/a	n/a	left	-1.89742428822289	n/a
77.427688428	0	bet	11	20	70	n/a	high	left	n/a	n/a
81.433564035	3.045894893	initial_beads	6	14	7	n/a	n/a	n/a	-1.9678294270774	n/a
85.307348133	0	bet	6	14	7	n/a	high	left	n/a	n/a
