onset	duration	event_type	num_beads_high	num_beads_low	points_high	bead_type	bet_jar_type	button	initialVOI	updatedVOI
1.827671135	3.065747833	initial_beads	15	5	70	n/a	n/a	n/a	-2.05610688680499	n/a
5.96359108199999	1.38615767	extra_bead	n/a	n/a	70	high	n/a	n/a	-2.05610688680499	-2.1267270006725
7.407456033	0	additional_draw_allowed	16	5	70	n/a	n/a	n/a	-2.05610688680499	-2.1267270006725
8.454851776	0	terminate_draw	16	5	70	n/a	n/a	left	-2.05610688680499	n/a
8.891955517	0	bet	16	5	70	n/a	high	left	n/a	n/a
13.14171857	3.04574429500001	initial_beads	5	15	70	n/a	n/a	n/a	-1.4925306317869	n/a
16.732916866	1.159324758	extra_bead	n/a	n/a	70	high	n/a	n/a	-1.4925306317869	-1.3478457800959
18.944789993	0	additional_draw_allowed	6	15	70	n/a	n/a	n/a	-1.4925306317869	-1.3478457800959
19.585977572	0	terminate_draw	6	15	70	n/a	n/a	right	-1.4925306317869	n/a
20.08607285	0	bet	6	15	70	n/a	low	right	n/a	n/a
23.168957887	3.04946602999999	initial_beads	20	10	70	n/a	n/a	n/a	-2.05610688680499	n/a
27.660538514	0	bet	20	10	70	n/a	high	left	n/a	n/a
32.167319442	3.04577938499999	initial_beads	14	6	70	n/a	n/a	n/a	-1.81705013765952	n/a
35.25497409	1.15385789599999	extra_bead	n/a	n/a	70	high	n/a	n/a	-1.81705013765952	-1.94997974047832
36.461646885	0	additional_draw_allowed	15	6	70	n/a	n/a	n/a	-1.81705013765952	-1.94997974047832
37.037812328	0	terminate_draw	15	6	70	n/a	n/a	left	-1.81705013765952	n/a
37.497233676	0	bet	15	6	70	n/a	high	left	n/a	n/a
40.508146883	3.046007164	initial_beads	11	9	170	n/a	n/a	n/a	-0.60879559985906	n/a
44.54689562	0	bet	11	9	170	n/a	high	left	n/a	n/a
48.056957549	3.04482245600002	initial_beads	10	10	70	n/a	n/a	n/a	-0.138966595832955	n/a
51.642755334	1.158163656	extra_bead	n/a	n/a	70	high	n/a	n/a	-0.138966595832955	-0.359251370277085
54.351900059	0	additional_draw_allowed	11	10	70	n/a	n/a	n/a	-0.138966595832955	-0.359251370277085
55.321145105	0	terminate_draw	11	10	70	n/a	n/a	left	-0.138966595832955	n/a
55.90110131	0	bet	11	10	70	n/a	high	left	n/a	n/a
59.425892828	3.045753211	initial_beads	13	7	170	n/a	n/a	n/a	-1.49452550630108	n/a
63.425778488	0	bet	13	7	170	n/a	high	left	n/a	n/a
65.937716531	3.04955844	initial_beads	15	15	170	n/a	n/a	n/a	-0.138966595832955	n/a
70.033229523	1.174792032	extra_bead	n/a	n/a	170	high	n/a	n/a	-0.138966595832955	-0.359251370277085
73.263839311	0	additional_draw_allowed	16	15	170	n/a	n/a	n/a	-0.138966595832955	-0.359251370277085
73.998349452	0	terminate_draw	16	15	170	n/a	n/a	left	-0.138966595832955	n/a
74.45397414	0	bet	16	15	170	n/a	high	left	n/a	n/a
77.9613341	3.04334332599998	initial_beads	7	13	170	n/a	n/a	n/a	-0.589627797957679	n/a
82.046239111	1.195222922	extra_bead	n/a	n/a	170	low	n/a	n/a	-0.589627797957679	-0.876610606661621
85.289990528	0	additional_draw_allowed	7	14	170	n/a	n/a	n/a	-0.589627797957679	-0.876610606661621
86.450798499	0	terminate_draw	7	14	170	n/a	n/a	right	-0.589627797957679	n/a
86.993331065	0	bet	7	14	170	n/a	low	right	n/a	n/a
90.013288179	3.04890607099998	initial_beads	20	10	170	n/a	n/a	n/a	-2.05610688680499	n/a
94.607250632	1.19015107999999	extra_bead	n/a	n/a	170	high	n/a	n/a	-2.05610688680499	-2.1267270006725
96.853511882	0	additional_draw_allowed	21	10	170	n/a	n/a	n/a	-2.05610688680499	-2.1267270006725
97.37772394	0	terminate_draw	21	10	170	n/a	n/a	left	-2.05610688680499	n/a
97.827324896	0	bet	21	10	170	n/a	high	left	n/a	n/a
101.83359011	3.045926321	initial_beads	12	8	170	n/a	n/a	n/a	-1.09459050204685	n/a
