onset	duration	event_type	num_beads_high	num_beads_low	points_high	bead_type	bet_jar_type	button	initialVOI	updatedVOI
1.957373543	3.064288173	initial_beads	15	5	70	n/a	n/a	n/a	-2.37553074021502	n/a
6.019240828	0	bet	15	5	70	n/a	high	left	n/a	n/a
9.302675485	3.048344018	initial_beads	18	12	7	n/a	n/a	n/a	-1.61038043399938	n/a
12.899272908	1.210068735	extra_bead	n/a	n/a	7	high	n/a	n/a	-1.61038043399938	-1.67697607350893
16.166118221	0	additional_draw_allowed	19	12	7	n/a	n/a	n/a	-1.61038043399938	-1.67697607350893
18.019386618	0	terminate_draw	19	12	7	n/a	n/a	left	-1.61038043399938	n/a
18.464767624	0	bet	19	12	7	n/a	high	left	n/a	n/a
23.07596693	3.048484835	initial_beads	12	18	70	n/a	n/a	n/a	-1.79961680670884	n/a
27.070096605	0	bet	12	18	70	n/a	high	left	n/a	n/a
30.090829872	3.048560025	initial_beads	11	19	7	n/a	n/a	n/a	-1.9678294270774	n/a
35.363995846	0	bet	11	19	7	n/a	high	left	n/a	n/a
39.360263366	3.04509764400001	initial_beads	15	5	7	n/a	n/a	n/a	-2.37553074021502	n/a
42.948218444	1.153612258	extra_bead	n/a	n/a	7	high	n/a	n/a	-2.37553074021502	-2.52253133076282
44.152787366	0	additional_draw_allowed	16	5	7	n/a	n/a	n/a	-2.37553074021502	-2.52253133076282
46.422919956	0	terminate_draw	16	5	7	n/a	n/a	right	-2.37553074021502	n/a
47.032781981	0	bet	16	5	7	n/a	high	left	n/a	n/a
50.027163374	3.046080038	initial_beads	10	10	70	n/a	n/a	n/a	-0.908549141821781	n/a
53.790688894	0	bet	10	10	70	n/a	high	left	n/a	n/a
56.792424968	3.04841749799999	initial_beads	13	17	7	n/a	n/a	n/a	-1.32390665973505	n/a
61.884313429	1.160152948	extra_bead	n/a	n/a	7	high	n/a	n/a	-1.32390665973505	-1.06156710675566
63.597257213	0	additional_draw_allowed	14	17	7	n/a	n/a	n/a	-1.32390665973505	-1.06156710675566
65.148362382	0	additional_draw	n/a	n/a	7	low	n/a	right	-1.32390665973505	n/a
65.53056941	0	additional_draw	n/a	n/a	7	low	n/a	right	-1.32390665973505	n/a
65.923012919	0	additional_draw	n/a	n/a	7	low	n/a	right	-1.32390665973505	n/a
66.653677856	0	terminate_draw	14	20	7	n/a	n/a	left	-1.32390665973505	n/a
67.206876994	0	bet	14	20	7	n/a	low	right	n/a	n/a
70.715396254	3.049001301	initial_beads	19	11	70	n/a	n/a	n/a	-1.86417958275177	n/a
75.309282237	1.19709198	extra_bead	n/a	n/a	70	high	n/a	n/a	-1.86417958275177	-2.12751860353776
78.56114655	0	additional_draw_allowed	20	11	70	n/a	n/a	n/a	-1.86417958275177	-2.12751860353776
79.100813632	0	additional_draw	n/a	n/a	70	high	n/a	right	-1.86417958275177	n/a
79.447184123	0	additional_draw	n/a	n/a	70	high	n/a	right	-1.86417958275177	n/a
79.68116474	0	additional_draw	n/a	n/a	70	high	n/a	right	-1.86417958275177	n/a
79.889205604	0	additional_draw	n/a	n/a	70	high	n/a	right	-1.86417958275177	n/a
80.108823808	0	additional_draw	n/a	n/a	70	high	n/a	right	-1.86417958275177	n/a
80.302222034	0	terminate_draw	25	11	70	n/a	n/a	left	-1.86417958275177	n/a
80.605466575	0	bet	25	11	70	n/a	high	left	n/a	n/a
85.116835268	3.049483494	initial_beads	14	16	7	n/a	n/a	n/a	-0.869663288631855	n/a
88.798209189	0	bet	14	16	7	n/a	high	left	n/a	n/a
93.30901307	3.04581165500001	initial_beads	8	12	70	n/a	n/a	n/a	-1.32390665973505	n/a
97.89677951	1.16281632299999	extra_bead	n/a	n/a	70	high	n/a	n/a	-1.32390665973505	-1.06156710675566
100.111840134	0	additional_draw_allowed	9	12	70	n/a	n/a	n/a	-1.32390665973505	-1.06156710675566
101.38514045	0	additional_draw	n/a	n/a	70	low	n/a	left	-1.32390665973505	n/a
101.629561549	0	additional_draw	n/a	n/a	70	high	n/a	left	-1.32390665973505	n/a
101.844602965	0	additional_draw	n/a	n/a	70	low	n/a	left	-1.32390665973505	n/a
102.058767113	0	additional_draw	n/a	n/a	70	high	n/a	left	-1.32390665973505	n/a
102.296583254	0	additional_draw	n/a	n/a	70	high	n/a	left	-1.32390665973505	n/a
102.537353536	0	additional_draw	n/a	n/a	70	low	n/a	left	-1.32390665973505	n/a
102.823572434	0	additional_draw	n/a	n/a	70	low	n/a	left	-1.32390665973505	n/a
103.088225711	0	additional_draw	n/a	n/a	70	low	n/a	left	-1.32390665973505	n/a
103.740963716	0	additional_draw	n/a	n/a	70	high	n/a	left	-1.32390665973505	n/a
104.173395987	0	additional_draw	n/a	n/a	70	low	n/a	left	-1.32390665973505	n/a
105.21678073	0	terminate_draw	13	18	70	n/a	n/a	right	-1.32390665973505	n/a
105.884674241	0	bet	13	18	70	n/a	low	right	n/a	n/a
109.887549539	3.04621675500002	initial_beads	6	14	70	n/a	n/a	n/a	-1.9678294270774	n/a
114.476041718	1.161303774	extra_bead	n/a	n/a	70	high	n/a	n/a	-1.9678294270774	-1.92671863808989
117.188441498	0	additional_draw_allowed	7	14	70	n/a	n/a	n/a	-1.9678294270774	-1.92671863808989
118.131504167	0	additional_draw	n/a	n/a	70	low	n/a	left	-1.9678294270774	n/a
118.358718265	0	additional_draw	n/a	n/a	70	low	n/a	left	-1.9678294270774	n/a
118.579972093	0	additional_draw	n/a	n/a	70	high	n/a	left	-1.9678294270774	n/a
118.791853268	0	additional_draw	n/a	n/a	70	high	n/a	left	-1.9678294270774	n/a
118.981770661	0	additional_draw	n/a	n/a	70	low	n/a	left	-1.9678294270774	n/a
119.274245923	0	terminate_draw	9	17	70	n/a	n/a	right	-1.9678294270774	n/a
119.704649843	0	bet	9	17	70	n/a	low	right	n/a	n/a
122.712252431	3.04918770700002	initial_beads	10	20	70	n/a	n/a	n/a	-1.89742428822289	n/a
125.8065425	1.15749886399999	extra_bead	n/a	n/a	70	high	n/a	n/a	-1.89742428822289	-1.94647871454116
127.51549944	0	additional_draw_allowed	11	20	70	n/a	n/a	n/a	-1.89742428822289	-1.94647871454116
129.559228688	0	terminate_draw	11	20	70	n/a	n/a	right	-1.89742428822289	n/a
131.348600574	0	bet	11	20	70	n/a	low	right	n/a	n/a
133.850726493	3.049513082	initial_beads	17	13	70	n/a	n/a	n/a	-1.65295917478599	n/a
137.945482984	1.179671235	extra_bead	n/a	n/a	70	low	n/a	n/a	-1.65295917478599	-1.58166614013995
139.68073704	0	additional_draw_allowed	17	14	70	n/a	n/a	n/a	-1.65295917478599	-1.58166614013995
