onset	duration	event_type	num_beads_high	num_beads_low	points_high	bead_type	bet_jar_type	button	initialVOI	updatedVOI
2.097040008	3.068879638	initial_beads	20	10	7	n/a	n/a	n/a	-2.37553074021502	n/a
5.239460021	1.381058745	extra_bead	n/a	n/a	7	high	n/a	n/a	-2.37553074021502	-2.52253133076282
8.181287516	0	additional_draw_allowed	21	10	7	n/a	n/a	n/a	-2.37553074021502	-2.52253133076282
9.447774543	0	terminate_draw	21	10	7	n/a	n/a	right	-2.37553074021502	n/a
9.733345056	0	bet	21	10	7	n/a	high	left	n/a	n/a
12.874635811	3.045868991	initial_beads	6	14	7	n/a	n/a	n/a	-1.9678294270774	n/a
17.461465579	1.197170948	extra_bead	n/a	n/a	7	low	n/a	n/a	-1.9678294270774	-1.94647871454116
19.209608948	0	additional_draw_allowed	6	15	7	n/a	n/a	n/a	-1.9678294270774	-1.94647871454116
19.9413467	0	terminate_draw	6	15	7	n/a	n/a	right	-1.9678294270774	n/a
20.267258652	0	bet	6	15	7	n/a	low	right	n/a	n/a
22.769070858	3.045648349	initial_beads	10	10	70	n/a	n/a	n/a	-0.908549141821781	n/a
26.767905139	0	bet	10	10	70	n/a	high	left	n/a	n/a
31.2705574	3.049038554	initial_beads	15	15	70	n/a	n/a	n/a	-0.908549141821781	n/a
34.367404186	1.154816898	extra_bead	n/a	n/a	70	high	n/a	n/a	-0.908549141821781	-1.13178054515916
37.0776425	0	additional_draw_allowed	16	15	70	n/a	n/a	n/a	-0.908549141821781	-1.13178054515916
37.780496152	0	terminate_draw	16	15	70	n/a	n/a	left	-0.908549141821781	n/a
38.075611183	0	bet	16	15	70	n/a	high	left	n/a	n/a
40.578044757	3.048130598	initial_beads	8	12	7	n/a	n/a	n/a	-1.32390665973505	n/a
44.167026398	1.1586602	extra_bead	n/a	n/a	7	high	n/a	n/a	-1.32390665973505	-1.06156710675566
46.876904392	0	additional_draw_allowed	9	12	7	n/a	n/a	n/a	-1.32390665973505	-1.06156710675566
47.512724295	0	terminate_draw	9	12	7	n/a	n/a	right	-1.32390665973505	n/a
47.807394174	0	bet	9	12	7	n/a	low	right	n/a	n/a
51.310479117	3.04578827499999	initial_beads	5	15	7	n/a	n/a	n/a	-1.89742428822289	n/a
55.296760456	0	bet	5	15	7	n/a	low	right	n/a	n/a
59.8001828	3.04556606899999	initial_beads	7	13	7	n/a	n/a	n/a	-1.79961680670884	n/a
63.387398374	1.16985976399999	extra_bead	n/a	n/a	7	low	n/a	n/a	-1.79961680670884	-1.92671863808989
