onset	duration	event_type	num_beads_high	num_beads_low	points_high	bead_type	bet_jar_type	button	initialVOI	updatedVOI
2.145036869	3.068857206	initial_beads	18	12	70	n/a	n/a	n/a	-1.61038043399938	n/a
5.939756139	0	bet	18	12	70	n/a	high	right	n/a	n/a
9.18285964	3.049325741	initial_beads	10	20	7	n/a	n/a	n/a	-1.89742428822289	n/a
12.782292506	1.218539767	extra_bead	n/a	n/a	7	low	n/a	n/a	-1.89742428822289	-1.84935502257263
15.558791768	0	additional_draw_allowed	10	21	7	n/a	n/a	n/a	-1.89742428822289	-1.84935502257263
16.321165068	0	terminate_draw	10	21	7	n/a	n/a	left	-1.89742428822289	n/a
16.768013883	0	bet	10	21	7	n/a	high	right	n/a	n/a
19.309562221	3.04920688	initial_beads	20	10	70	n/a	n/a	n/a	-2.37553074021502	n/a
23.907138421	1.161206257	extra_bead	n/a	n/a	70	low	n/a	n/a	-2.37553074021502	-2.12751860353776
27.123271918	0	additional_draw_allowed	20	11	70	n/a	n/a	n/a	-2.37553074021502	-2.12751860353776
27.840348199	0	terminate_draw	20	11	70	n/a	n/a	right	-2.37553074021502	n/a
28.199574847	0	bet	20	11	70	n/a	high	right	n/a	n/a
31.281057323	3.046125687	initial_beads	7	13	7	n/a	n/a	n/a	-1.79961680670884	n/a
35.369520419	1.155410799	extra_bead	n/a	n/a	7	low	n/a	n/a	-1.79961680670884	-1.92671863808989
37.076775926	0	additional_draw_allowed	7	14	7	n/a	n/a	n/a	-1.79961680670884	-1.92671863808989
37.879555179	0	terminate_draw	7	14	7	n/a	n/a	right	-1.79961680670884	n/a
38.264095319	0	bet	7	14	7	n/a	low	left	n/a	n/a
41.264188954	3.04631542200001	initial_beads	5	15	7	n/a	n/a	n/a	-1.89742428822289	n/a
46.351488526	1.179574802	extra_bead	n/a	n/a	7	high	n/a	n/a	-1.89742428822289	-1.94647871454116
49.082606635	0	additional_draw_allowed	6	15	7	n/a	n/a	n/a	-1.89742428822289	-1.94647871454116
50.425939782	0	terminate_draw	6	15	7	n/a	n/a	left	-1.89742428822289	n/a
50.892439622	0	bet	6	15	7	n/a	high	right	n/a	n/a
53.394755811	3.046019847	initial_beads	6	14	7	n/a	n/a	n/a	-1.9678294270774	n/a
57.500954527	0	bet	6	14	7	n/a	high	right	n/a	n/a
61.524243987	3.04944949	initial_beads	13	17	7	n/a	n/a	n/a	-1.32390665973505	n/a
65.187869697	0	bet	13	17	7	n/a	high	right	n/a	n/a
69.708497332	3.04933113	initial_beads	12	18	7	n/a	n/a	n/a	-1.79961680670884	n/a
73.802246839	1.17793653400001	extra_bead	n/a	n/a	7	high	n/a	n/a	-1.79961680670884	-1.58833812291982
76.538228656	0	additional_draw_allowed	13	18	7	n/a	n/a	n/a	-1.79961680670884	-1.58833812291982
77.164805835	0	terminate_draw	13	18	7	n/a	n/a	left	-1.79961680670884	n/a
77.597902127	0	bet	13	18	7	n/a	high	right	n/a	n/a
80.118594398	3.049203482	initial_beads	19	11	70	n/a	n/a	n/a	-1.86417958275177	n/a
83.712724057	1.17938150699999	extra_bead	n/a	n/a	70	high	n/a	n/a	-1.86417958275177	-2.12751860353776
86.947225089	0	additional_draw_allowed	20	11	70	n/a	n/a	n/a	-1.86417958275177	-2.12751860353776
87.651744074	0	terminate_draw	20	11	70	n/a	n/a	right	-1.86417958275177	n/a
88.069337062	0	bet	20	11	70	n/a	high	right	n/a	n/a
91.589940359	3.04937800800001	initial_beads	15	15	7	n/a	n/a	n/a	-0.908549141821781	n/a
95.22104721	0	bet	15	15	7	n/a	high	right	n/a	n/a
99.739780086	3.04819622300001	initial_beads	20	10	7	n/a	n/a	n/a	-2.37553074021502	n/a
103.832422906	1.19261746800001	extra_bead	n/a	n/a	7	high	n/a	n/a	-2.37553074021502	-2.52253133076282
106.080744585	0	additional_draw_allowed	21	10	7	n/a	n/a	n/a	-2.37553074021502	-2.52253133076282
106.814061666	0	terminate_draw	21	10	7	n/a	n/a	right	-2.37553074021502	n/a
107.155095726	0	bet	21	10	7	n/a	high	right	n/a	n/a
111.670309734	3.046177701	initial_beads	13	7	70	n/a	n/a	n/a	-1.61038043399938	n/a
116.257674678	1.16740482500001	extra_bead	n/a	n/a	70	low	n/a	n/a	-1.61038043399938	-1.63249142378056
118.977920767	0	additional_draw_allowed	13	8	70	n/a	n/a	n/a	-1.61038043399938	-1.63249142378056
119.515604489	0	terminate_draw	13	8	70	n/a	n/a	left	-1.61038043399938	n/a
119.818673376	0	bet	13	8	70	n/a	high	right	n/a	n/a
123.827567713	3.04900836600001	initial_beads	19	11	7	n/a	n/a	n/a	-1.86417958275177	n/a
127.421833011	1.16352557899998	extra_bead	n/a	n/a	7	low	n/a	n/a	-1.86417958275177	-1.67697607350893
129.1400555	0	additional_draw_allowed	19	12	7	n/a	n/a	n/a	-1.86417958275177	-1.67697607350893
129.880069553	0	terminate_draw	19	12	7	n/a	n/a	right	-1.86417958275177	n/a
130.212479701	0	bet	19	12	7	n/a	high	right	n/a	n/a
134.717118057	3.046197417	initial_beads	9	11	70	n/a	n/a	n/a	-0.869663288631855	n/a
139.804355078	1.16237426499998	extra_bead	n/a	n/a	70	low	n/a	n/a	-0.869663288631855	-1.06156710675566
141.024046298	0	additional_draw_allowed	9	12	70	n/a	n/a	n/a	-0.869663288631855	-1.06156710675566
142.692923182	0	terminate_draw	9	12	70	n/a	n/a	left	-0.869663288631855	n/a
143.013538827	0	bet	9	12	70	n/a	high	right	n/a	n/a
146.018666242	3.04103662099999	initial_beads	12	8	7	n/a	n/a	n/a	-1.65295917478599	n/a
149.784416772	0	bet	12	8	7	n/a	high	right	n/a	n/a
152.784268169	3.04599064300001	initial_beads	8	12	70	n/a	n/a	n/a	-1.32390665973505	n/a
156.371130797	1.160313809	extra_bead	n/a	n/a	70	low	n/a	n/a	-1.32390665973505	-1.58833812291982
158.082669161	0	additional_draw_allowed	8	13	70	n/a	n/a	n/a	-1.32390665973505	-1.58833812291982
158.764556399	0	terminate_draw	8	13	70	n/a	n/a	left	-1.32390665973505	n/a
159.101507957	0	bet	8	13	70	n/a	high	right	n/a	n/a
163.608354911	3.04942809899998	initial_beads	18	12	7	n/a	n/a	n/a	-1.61038043399938	n/a
166.702914018	1.15298194000002	extra_bead	n/a	n/a	7	high	n/a	n/a	-1.61038043399938	-1.67697607350893
169.911062826	0	additional_draw_allowed	19	12	7	n/a	n/a	n/a	-1.61038043399938	-1.67697607350893
170.48566684	0	terminate_draw	19	12	7	n/a	n/a	right	-1.61038043399938	n/a
170.814791199	0	bet	19	12	7	n/a	high	right	n/a	n/a
175.319047466	3.048996625	initial_beads	17	13	70	n/a	n/a	n/a	-1.65295917478599	n/a
180.412860958	1.16193410400001	extra_bead	n/a	n/a	70	high	n/a	n/a	-1.65295917478599	-1.63249142378056
181.630675184	0	additional_draw_allowed	18	13	70	n/a	n/a	n/a	-1.65295917478599	-1.63249142378056
182.261829627	0	terminate_draw	18	13	70	n/a	n/a	right	-1.65295917478599	n/a
182.662606923	0	bet	18	13	70	n/a	high	right	n/a	n/a
185.665772824	3.04844394200001	initial_beads	14	16	70	n/a	n/a	n/a	-0.869663288631855	n/a
189.759106506	1.16166798099999	extra_bead	n/a	n/a	70	high	n/a	n/a	-0.869663288631855	-0.809922418078171
191.475807248	0	additional_draw_allowed	15	16	70	n/a	n/a	n/a	-0.869663288631855	-0.809922418078171
192.164383322	0	terminate_draw	15	16	70	n/a	n/a	left	-0.869663288631855	n/a
192.530266508	0	bet	15	16	70	n/a	high	right	n/a	n/a
196.536806044	3.04940224200001	initial_beads	11	19	70	n/a	n/a	n/a	-1.9678294270774	n/a
200.297426999	0	bet	11	19	70	n/a	high	right	n/a	n/a
203.800491857	3.04639221000002	initial_beads	15	5	7	n/a	n/a	n/a	-2.37553074021502	n/a
208.8883473	1.158696741	extra_bead	n/a	n/a	7	high	n/a	n/a	-2.37553074021502	-2.52253133076282
210.098952944	0	additional_draw_allowed	16	5	7	n/a	n/a	n/a	-2.37553074021502	-2.52253133076282
210.813989955	0	terminate_draw	16	5	7	n/a	n/a	right	-2.37553074021502	n/a
211.116518323	0	bet	16	5	7	n/a	high	right	n/a	n/a
215.119067752	3.049715163	initial_beads	16	14	70	n/a	n/a	n/a	-1.39008283120292	n/a
220.213846861	1.16004581499999	extra_bead	n/a	n/a	70	high	n/a	n/a	-1.39008283120292	-1.58166614013995
222.928454535	0	additional_draw_allowed	17	14	70	n/a	n/a	n/a	-1.39008283120292	-1.58166614013995
223.400020556	0	terminate_draw	17	14	70	n/a	n/a	right	-1.39008283120292	n/a
223.69646064	0	bet	17	14	70	n/a	high	right	n/a	n/a
227.697474342	3.04999759599997	initial_beads	14	16	7	n/a	n/a	n/a	-0.869663288631855	n/a
232.292096866	1.15968338700003	extra_bead	n/a	n/a	7	low	n/a	n/a	-0.869663288631855	-1.06156710675566
235.005626345	0	additional_draw_allowed	14	17	7	n/a	n/a	n/a	-0.869663288631855	-1.06156710675566
235.534290193	0	terminate_draw	14	17	7	n/a	n/a	left	-0.869663288631855	n/a
235.862441779	0	bet	14	17	7	n/a	high	right	n/a	n/a
239.356176868	3.046621039	initial_beads	11	9	7	n/a	n/a	n/a	-1.39008283120292	n/a
243.943874383	1.15701515799998	extra_bead	n/a	n/a	7	low	n/a	n/a	-1.39008283120292	-1.13178054515916
246.151614649	0	additional_draw_allowed	11	10	7	n/a	n/a	n/a	-1.39008283120292	-1.13178054515916
246.801636302	0	terminate_draw	11	10	7	n/a	n/a	left	-1.39008283120292	n/a
247.178780245	0	bet	11	10	7	n/a	high	right	n/a	n/a
249.691511412	3.04828161500001	initial_beads	11	19	7	n/a	n/a	n/a	-1.9678294270774	n/a
253.314277806	0	bet	11	19	7	n/a	high	right	n/a	n/a
255.815257277	3.04980859300002	initial_beads	12	18	70	n/a	n/a	n/a	-1.79961680670884	n/a
260.909703189	1.15883437899998	extra_bead	n/a	n/a	70	high	n/a	n/a	-1.79961680670884	-1.58833812291982
263.1230543	0	additional_draw_allowed	13	18	70	n/a	n/a	n/a	-1.79961680670884	-1.58833812291982
263.665290406	0	terminate_draw	13	18	70	n/a	n/a	left	-1.79961680670884	n/a
264.061209359	0	bet	13	18	70	n/a	high	right	n/a	n/a
267.059717872	3.045333019	initial_beads	11	9	70	n/a	n/a	n/a	-1.39008283120292	n/a
270.145945082	1.149822503	extra_bead	n/a	n/a	70	high	n/a	n/a	-1.39008283120292	-1.58166614013995
271.847132577	0	additional_draw_allowed	12	9	70	n/a	n/a	n/a	-1.39008283120292	-1.58166614013995
272.47398982	0	terminate_draw	12	9	70	n/a	n/a	right	-1.39008283120292	n/a
272.810432175	0	bet	12	9	70	n/a	high	right	n/a	n/a
276.307517135	3.04654870299998	initial_beads	14	6	70	n/a	n/a	n/a	-1.86417958275177	n/a
279.895888209	1.15710973699998	extra_bead	n/a	n/a	70	low	n/a	n/a	-1.86417958275177	-1.67697607350893
281.099116664	0	additional_draw_allowed	14	7	70	n/a	n/a	n/a	-1.86417958275177	-1.67697607350893
281.780456953	0	terminate_draw	14	7	70	n/a	n/a	right	-1.86417958275177	n/a
282.089879339	0	bet	14	7	70	n/a	high	right	n/a	n/a
286.088756673	3.04577907699996	initial_beads	7	13	70	n/a	n/a	n/a	-1.79961680670884	n/a
289.175866276	1.15026918500001	extra_bead	n/a	n/a	70	low	n/a	n/a	-1.79961680670884	-1.92671863808989
291.877959108	0	additional_draw_allowed	7	14	70	n/a	n/a	n/a	-1.79961680670884	-1.92671863808989
292.721634273	0	terminate_draw	7	14	70	n/a	n/a	left	-1.79961680670884	n/a
293.119322481	0	bet	7	14	70	n/a	high	right	n/a	n/a
296.615345998	3.046758845	initial_beads	5	15	70	n/a	n/a	n/a	-1.89742428822289	n/a
299.703777305	1.15021189599997	extra_bead	n/a	n/a	70	low	n/a	n/a	-1.89742428822289	-1.84935502257263
302.404395504	0	additional_draw_allowed	5	16	70	n/a	n/a	n/a	-1.89742428822289	-1.84935502257263
302.976051967	0	terminate_draw	5	16	70	n/a	n/a	right	-1.89742428822289	n/a
303.648423813	0	bet	5	16	70	n/a	low	left	n/a	n/a
306.649743008	3.04699575399997	initial_beads	6	14	70	n/a	n/a	n/a	-1.9678294270774	n/a
310.738281975	1.15643624400002	extra_bead	n/a	n/a	70	high	n/a	n/a	-1.9678294270774	-1.92671863808989
313.946190619	0	additional_draw_allowed	7	14	70	n/a	n/a	n/a	-1.9678294270774	-1.92671863808989
314.744539184	0	terminate_draw	7	14	70	n/a	n/a	right	-1.9678294270774	n/a
315.193434645	0	bet	7	14	70	n/a	high	right	n/a	n/a
319.193188022	3.05014946	initial_beads	16	14	7	n/a	n/a	n/a	-1.39008283120292	n/a
324.289387558	1.16164199100001	extra_bead	n/a	n/a	7	low	n/a	n/a	-1.39008283120292	-1.13178054515916
326.505687649	0	additional_draw_allowed	16	15	7	n/a	n/a	n/a	-1.39008283120292	-1.13178054515916
327.259803962	0	terminate_draw	16	15	7	n/a	n/a	left	-1.39008283120292	n/a
327.670336492	0	bet	16	15	7	n/a	high	right	n/a	n/a
331.666686834	3.05027935999999	initial_beads	13	17	70	n/a	n/a	n/a	-1.32390665973505	n/a
335.262486866	1.15924200500001	extra_bead	n/a	n/a	70	high	n/a	n/a	-1.32390665973505	-1.06156710675566
337.478455475	0	additional_draw_allowed	14	17	70	n/a	n/a	n/a	-1.32390665973505	-1.06156710675566
338.099398529	0	terminate_draw	14	17	70	n/a	n/a	right	-1.32390665973505	n/a
338.43029012	0	bet	14	17	70	n/a	high	right	n/a	n/a
