onset	duration	event_type	num_beads_high	num_beads_low	points_high	bead_type	bet_jar_type	button	initialVOI	updatedVOI
2.133822911	3.068333269	initial_beads	13	17	170	n/a	n/a	n/a	-0.0885128587302129	n/a
5.773830691	1.383820163	extra_bead	n/a	n/a	170	low	n/a	n/a	-0.0885128587302129	-0.313754982757747
8.217930899	0	additional_draw_allowed	13	18	170	n/a	n/a	n/a	-0.0885128587302129	-0.313754982757747
9.005236786	0	terminate_draw	13	18	170	n/a	n/a	right	-0.0885128587302129	n/a
9.459196374	0	bet	13	18	170	n/a	low	left	n/a	n/a
14.057561345	3.044565001	initial_beads	15	5	70	n/a	n/a	n/a	-2.05610688680499	n/a
17.642637961	1.156581405	extra_bead	n/a	n/a	70	low	n/a	n/a	-2.05610688680499	-1.94997974047832
19.350126621	0	additional_draw_allowed	15	6	70	n/a	n/a	n/a	-2.05610688680499	-1.94997974047832
19.935825234	0	terminate_draw	15	6	70	n/a	n/a	right	-2.05610688680499	n/a
20.321037359	0	bet	15	6	70	n/a	high	right	n/a	n/a
24.318755358	3.045831197	initial_beads	14	6	70	n/a	n/a	n/a	-1.81705013765952	n/a
27.407290901	1.150173777	extra_bead	n/a	n/a	70	low	n/a	n/a	-1.81705013765952	-1.6643221650255
30.108869936	0	additional_draw_allowed	14	7	70	n/a	n/a	n/a	-1.81705013765952	-1.6643221650255
30.684355234	0	terminate_draw	14	7	70	n/a	n/a	left	-1.81705013765952	n/a
31.13533639	0	bet	14	7	70	n/a	high	right	n/a	n/a
34.130236077	3.045443387	initial_beads	13	7	70	n/a	n/a	n/a	-1.49452550630108	n/a
37.721545093	0	bet	13	7	70	n/a	high	right	n/a	n/a
41.221369152	3.045352226	initial_beads	12	8	170	n/a	n/a	n/a	-1.09459050204685	n/a
44.808503399	1.149583525	extra_bead	n/a	n/a	170	low	n/a	n/a	-1.09459050204685	-0.859880583731738
47.009334359	0	additional_draw_allowed	12	9	170	n/a	n/a	n/a	-1.09459050204685	-0.859880583731738
47.693524362	0	terminate_draw	12	9	170	n/a	n/a	left	-1.09459050204685	n/a
48.156824548	0	bet	12	9	170	n/a	high	right	n/a	n/a
51.659183367	3.04554912	initial_beads	6	14	170	n/a	n/a	n/a	-1.138188793927	n/a
55.245701335	1.156524219	extra_bead	n/a	n/a	170	low	n/a	n/a	-1.138188793927	-1.3478457800959
57.953903242	0	additional_draw_allowed	6	15	170	n/a	n/a	n/a	-1.138188793927	-1.3478457800959
58.409185105	0	terminate_draw	6	15	170	n/a	n/a	left	-1.138188793927	n/a
58.781036527	0	bet	6	15	170	n/a	low	left	n/a	n/a
61.84078164	3.049024714	initial_beads	10	20	170	n/a	n/a	n/a	-1.4925306317869	n/a
64.934459558	1.187774729	extra_bead	n/a	n/a	170	low	n/a	n/a	-1.4925306317869	-1.57230111622249
67.676303447	0	additional_draw_allowed	10	21	170	n/a	n/a	n/a	-1.4925306317869	-1.57230111622249
68.627934317	0	terminate_draw	10	21	170	n/a	n/a	right	-1.4925306317869	n/a
68.971607725	0	bet	10	21	170	n/a	low	left	n/a	n/a
72.050145592	3.04425537600001	initial_beads	18	12	70	n/a	n/a	n/a	-1.49452550630108	n/a
75.928360989	0	bet	18	12	70	n/a	high	right	n/a	n/a
79.940793804	3.044277241	initial_beads	9	11	70	n/a	n/a	n/a	0.0890658505832835	n/a
83.526250323	1.19148271499999	extra_bead	n/a	n/a	70	high	n/a	n/a	0.0890658505832835	0.0199108487249338
85.270017033	0	additional_draw_allowed	10	11	70	n/a	n/a	n/a	0.0890658505832835	0.0199108487249338
86.23284985	0	terminate_draw	10	11	70	n/a	n/a	right	0.0890658505832835	n/a
86.567482078	0	bet	10	11	70	n/a	high	right	n/a	n/a
89.077981855	3.04595886599999	initial_beads	12	8	70	n/a	n/a	n/a	-1.09459050204685	n/a
94.164550551	1.16928467199999	extra_bead	n/a	n/a	70	high	n/a	n/a	-1.09459050204685	-1.30585515991628
97.385744773	0	additional_draw_allowed	13	8	70	n/a	n/a	n/a	-1.09459050204685	-1.30585515991628
97.969928037	0	terminate_draw	13	8	70	n/a	n/a	right	-1.09459050204685	n/a
98.347604142	0	bet	13	8	70	n/a	high	right	n/a	n/a
100.863467443	3.04991916199999	initial_beads	11	19	170	n/a	n/a	n/a	-1.138188793927	n/a
104.457297317	1.16537591399999	extra_bead	n/a	n/a	170	high	n/a	n/a	-1.138188793927	-0.876610606661621
106.17761607	0	additional_draw_allowed	12	19	170	n/a	n/a	n/a	-1.138188793927	-0.876610606661621
107.401501508	0	terminate_draw	12	19	170	n/a	n/a	left	-1.138188793927	n/a
107.779751031	0	bet	12	19	170	n/a	low	left	n/a	n/a
112.294764671	3.04768214000001	initial_beads	10	20	70	n/a	n/a	n/a	-1.4925306317869	n/a
116.887308266	1.17198191400001	extra_bead	n/a	n/a	70	low	n/a	n/a	-1.4925306317869	-1.57230111622249
119.61487649	0	additional_draw_allowed	10	21	70	n/a	n/a	n/a	-1.4925306317869	-1.57230111622249
120.214461818	0	terminate_draw	10	21	70	n/a	n/a	left	-1.4925306317869	n/a
120.554558418	0	bet	10	21	70	n/a	low	left	n/a	n/a
124.08176948	3.04732009599999	initial_beads	19	11	70	n/a	n/a	n/a	-1.81705013765952	n/a
127.85901443	0	bet	19	11	70	n/a	high	right	n/a	n/a
131.864159901	3.04574756299999	initial_beads	8	12	170	n/a	n/a	n/a	-0.0885128587302129	n/a
136.951197883	1.166828614	extra_bead	n/a	n/a	170	low	n/a	n/a	-0.0885128587302129	-0.313754982757747
138.176844239	0	additional_draw_allowed	8	13	170	n/a	n/a	n/a	-0.0885128587302129	-0.313754982757747
140.081580622	0	terminate_draw	8	13	170	n/a	n/a	left	-0.0885128587302129	n/a
140.990253933	0	bet	8	13	170	n/a	high	right	n/a	n/a
144.002010509	3.04932454799999	initial_beads	16	14	70	n/a	n/a	n/a	-0.60879559985906	n/a
147.096356576	1.158413438	extra_bead	n/a	n/a	70	high	n/a	n/a	-0.60879559985906	-0.859880583731738
148.809873473	0	additional_draw_allowed	17	14	70	n/a	n/a	n/a	-0.60879559985906	-0.859880583731738
149.324036332	0	terminate_draw	17	14	70	n/a	n/a	left	-0.60879559985906	n/a
149.752819625	0	bet	17	14	70	n/a	high	right	n/a	n/a
153.757274674	3.04784935699999	initial_beads	14	16	170	n/a	n/a	n/a	0.0890658505832835	n/a
157.444877644	0	bet	14	16	170	n/a	high	right	n/a	n/a
161.969480539	3.050016986	initial_beads	20	10	70	n/a	n/a	n/a	-2.05610688680499	n/a
166.06422511	1.15494737400002	extra_bead	n/a	n/a	70	low	n/a	n/a	-2.05610688680499	-1.94997974047832
169.273631859	0	additional_draw_allowed	20	11	70	n/a	n/a	n/a	-2.05610688680499	-1.94997974047832
170.035793782	0	terminate_draw	20	11	70	n/a	n/a	right	-2.05610688680499	n/a
