onset	duration	event_type	num_beads_high	num_beads_low	points_high	bead_type	bet_jar_type	button	initialVOI	updatedVOI
1.34957128799999	3.05628726300006	initial_beads	13	17	70	n/a	n/a	n/a	-1.32390665973505	n/a
5.46075768599997	1.32841841000004	extra_bead	n/a	n/a	70	high	n/a	n/a	-1.32390665973505	-1.06156710675566
7.34917125799996	0	additional_draw_allowed	14	17	70	n/a	n/a	n/a	-1.32390665973505	-1.06156710675566
8.52620448200003	0	additional_draw	n/a	n/a	70	high	n/a	right	-1.32390665973505	n/a
8.75830267200001	0	additional_draw	n/a	n/a	70	high	n/a	right	-1.32390665973505	n/a
9.18383063700003	0	additional_draw	n/a	n/a	70	low	n/a	right	-1.32390665973505	n/a
10.216260225	0	terminate_draw	16	18	70	n/a	n/a	left	-1.32390665973505	n/a
10.527324862	0	bet	16	18	70	n/a	low	right	n/a	n/a
13.607873801	3.04916859700006	initial_beads	20	10	70	n/a	n/a	n/a	-2.37553074021502	n/a
17.20312892	1.18552216199998	extra_bead	n/a	n/a	70	high	n/a	n/a	-2.37553074021502	-2.52253133076282
18.4489086140001	0	additional_draw_allowed	21	10	70	n/a	n/a	n/a	-2.37553074021502	-2.52253133076282
20.140498531	0	terminate_draw	21	10	70	n/a	n/a	right	-2.37553074021502	n/a
20.442725933	0	bet	21	10	70	n/a	high	left	n/a	n/a
24.987197667	3.04940132599995	initial_beads	10	20	70	n/a	n/a	n/a	-1.89742428822289	n/a
28.64185114	0	bet	10	20	70	n/a	low	right	n/a	n/a
31.651870914	3.04946927000003	initial_beads	11	19	70	n/a	n/a	n/a	-1.9678294270774	n/a
35.747452901	1.18850025300003	extra_bead	n/a	n/a	70	low	n/a	n/a	-1.9678294270774	-1.94647871454116
36.9967537380001	0	additional_draw_allowed	11	20	70	n/a	n/a	n/a	-1.9678294270774	-1.94647871454116
38.614077768	0	terminate_draw	11	20	70	n/a	n/a	right	-1.9678294270774	n/a
38.915230709	0	bet	11	20	70	n/a	low	right	n/a	n/a
43.420723864	3.045994028	initial_beads	15	5	70	n/a	n/a	n/a	-2.37553074021502	n/a
47.010714399	1.16582825800003	extra_bead	n/a	n/a	70	high	n/a	n/a	-2.37553074021502	-2.52253133076282
49.729781039	0	additional_draw_allowed	16	5	70	n/a	n/a	n/a	-2.37553074021502	-2.52253133076282
50.895875931	0	terminate_draw	16	5	70	n/a	n/a	left	-2.37553074021502	n/a
51.308496457	0	bet	16	5	70	n/a	high	left	n/a	n/a
55.81539166	3.045936246	initial_beads	5	15	70	n/a	n/a	n/a	-1.89742428822289	n/a
