onset	duration	event_type	num_beads_high	num_beads_low	points_high	bead_type	bet_jar_type	button	initialVOI	updatedVOI
1.960066183	3.065360646	initial_beads	13	7	70	n/a	n/a	n/a	-1.49452550630108	n/a
6.181212042	0	bet	13	7	70	n/a	high	right	n/a	n/a
9.30198387	3.045308867	initial_beads	14	6	70	n/a	n/a	n/a	-1.81705013765952	n/a
13.89466356	1.217192516	extra_bead	n/a	n/a	70	high	n/a	n/a	-1.81705013765952	-1.94997974047832
16.665998067	0	additional_draw_allowed	15	6	70	n/a	n/a	n/a	-1.81705013765952	-1.94997974047832
17.567195546	0	terminate_draw	15	6	70	n/a	n/a	left	-1.81705013765952	n/a
18.354575278	0	bet	15	6	70	n/a	high	right	n/a	n/a
22.910442946	3.045877815	initial_beads	11	9	170	n/a	n/a	n/a	-0.60879559985906	n/a
26.499191303	1.194251599	extra_bead	n/a	n/a	170	low	n/a	n/a	-0.60879559985906	-0.359251370277085
27.74382932	0	additional_draw_allowed	11	10	170	n/a	n/a	n/a	-0.60879559985906	-0.359251370277085
28.679336744	0	terminate_draw	11	10	170	n/a	n/a	right	-0.60879559985906	n/a
29.373681332	0	bet	11	10	170	n/a	high	right	n/a	n/a
33.475925011	3.047975684	initial_beads	15	15	70	n/a	n/a	n/a	-0.138966595832955	n/a
38.068334896	1.181504601	extra_bead	n/a	n/a	70	high	n/a	n/a	-0.138966595832955	-0.359251370277085
39.305881154	0	additional_draw_allowed	16	15	70	n/a	n/a	n/a	-0.138966595832955	-0.359251370277085
40.109452301	0	terminate_draw	16	15	70	n/a	n/a	left	-0.138966595832955	n/a
41.024613855	0	bet	16	15	70	n/a	high	right	n/a	n/a
43.539003563	3.044872186	initial_beads	11	9	70	n/a	n/a	n/a	-0.60879559985906	n/a
47.732110459	0	bet	11	9	70	n/a	high	right	n/a	n/a
50.241391222	3.046109722	initial_beads	8	12	70	n/a	n/a	n/a	-0.0885128587302129	n/a
54.328664603	1.16168161900001	extra_bead	n/a	n/a	70	low	n/a	n/a	-0.0885128587302129	-0.313754982757747
56.04218535	0	additional_draw_allowed	8	13	70	n/a	n/a	n/a	-0.0885128587302129	-0.313754982757747
57.193979094	0	terminate_draw	8	13	70	n/a	n/a	left	-0.0885128587302129	n/a
58.21063021	0	bet	8	13	70	n/a	low	left	n/a	n/a
62.315817277	3.050528032	initial_beads	20	10	170	n/a	n/a	n/a	-2.05610688680499	n/a
67.411703295	1.17552645400001	extra_bead	n/a	n/a	170	low	n/a	n/a	-2.05610688680499	-1.94997974047832
70.143128645	0	additional_draw_allowed	20	11	170	n/a	n/a	n/a	-2.05610688680499	-1.94997974047832
71.123431499	0	terminate_draw	20	11	170	n/a	n/a	left	-2.05610688680499	n/a
71.857472456	0	bet	20	11	170	n/a	high	right	n/a	n/a
75.882902627	3.045599991	initial_beads	9	11	70	n/a	n/a	n/a	0.0890658505832835	n/a
78.969905887	1.173635573	extra_bead	n/a	n/a	70	high	n/a	n/a	0.0890658505832835	0.0199108487249338
80.69597593	0	additional_draw_allowed	10	11	70	n/a	n/a	n/a	0.0890658505832835	0.0199108487249338
81.430296382	0	terminate_draw	10	11	70	n/a	n/a	right	0.0890658505832835	n/a
81.951725632	0	bet	10	11	70	n/a	high	right	n/a	n/a
86.494235224	3.05015467600001	initial_beads	14	16	70	n/a	n/a	n/a	0.0890658505832835	n/a
90.089472477	1.192738322	extra_bead	n/a	n/a	70	low	n/a	n/a	0.0890658505832835	0.0523930653842202
91.34864179	0	additional_draw_allowed	14	17	70	n/a	n/a	n/a	0.0890658505832835	0.0523930653842202
92.029409348	0	terminate_draw	14	17	70	n/a	n/a	left	0.0890658505832835	n/a
92.556867286	0	bet	14	17	70	n/a	high	right	n/a	n/a
95.576517223	3.04613430000001	initial_beads	7	13	70	n/a	n/a	n/a	-0.589627797957679	n/a
98.665698386	1.16471066999999	extra_bead	n/a	n/a	70	low	n/a	n/a	-0.589627797957679	-0.876610606661621
100.382152198	0	additional_draw_allowed	7	14	70	n/a	n/a	n/a	-0.589627797957679	-0.876610606661621
101.180696829	0	terminate_draw	7	14	70	n/a	n/a	right	-0.589627797957679	n/a
101.710019995	0	bet	7	14	70	n/a	low	left	n/a	n/a
104.233232555	3.04623252899999	initial_beads	6	14	70	n/a	n/a	n/a	-1.138188793927	n/a
108.119153637	0	bet	6	14	70	n/a	low	left	n/a	n/a
111.149544757	3.049246474	initial_beads	20	10	70	n/a	n/a	n/a	-2.05610688680499	n/a
115.743441983	1.19278933699999	extra_bead	n/a	n/a	70	high	n/a	n/a	-2.05610688680499	-2.1267270006725
118.992522052	0	additional_draw_allowed	21	10	70	n/a	n/a	n/a	-2.05610688680499	-2.1267270006725
119.765420947	0	terminate_draw	21	10	70	n/a	n/a	left	-2.05610688680499	n/a
120.286107681	0	bet	21	10	70	n/a	high	right	n/a	n/a
124.854449755	3.051225923	initial_beads	11	19	70	n/a	n/a	n/a	-1.138188793927	n/a
128.951256917	1.167880212	extra_bead	n/a	n/a	70	high	n/a	n/a	-1.138188793927	-0.876610606661621
130.673526756	0	additional_draw_allowed	12	19	70	n/a	n/a	n/a	-1.138188793927	-0.876610606661621
131.390753862	0	terminate_draw	12	19	70	n/a	n/a	left	-1.138188793927	n/a
132.011365386	0	bet	12	19	70	n/a	low	left	n/a	n/a
135.033871456	3.04948016500001	initial_beads	12	18	170	n/a	n/a	n/a	-0.589627797957679	n/a
138.128278519	1.16342051700002	extra_bead	n/a	n/a	170	low	n/a	n/a	-0.589627797957679	-0.876610606661621
140.34466988	0	additional_draw_allowed	12	19	170	n/a	n/a	n/a	-0.589627797957679	-0.876610606661621
141.046671671	0	terminate_draw	12	19	170	n/a	n/a	left	-0.589627797957679	n/a
141.858740605	0	bet	12	19	170	n/a	low	left	n/a	n/a
144.878934624	3.047300565	initial_beads	11	19	170	n/a	n/a	n/a	-1.138188793927	n/a
148.683445205	0	bet	11	19	170	n/a	low	left	n/a	n/a
151.197488657	3.056616975	initial_beads	14	6	170	n/a	n/a	n/a	-1.81705013765952	n/a
155.025024616	0	bet	14	6	170	n/a	high	right	n/a	n/a
158.537015164	3.04974832300002	initial_beads	17	13	170	n/a	n/a	n/a	-1.09459050204685	n/a
162.631210861	1.16373155299999	extra_bead	n/a	n/a	170	high	n/a	n/a	-1.09459050204685	-1.30585515991628
165.350842609	0	additional_draw_allowed	18	13	170	n/a	n/a	n/a	-1.09459050204685	-1.30585515991628
166.562254491	0	terminate_draw	18	13	170	n/a	n/a	right	-1.09459050204685	n/a
167.101063163	0	bet	18	13	170	n/a	high	right	n/a	n/a
170.620801496	3.04938062899998	initial_beads	12	18	70	n/a	n/a	n/a	-0.589627797957679	n/a
174.715694702	1.16226001299998	extra_bead	n/a	n/a	70	high	n/a	n/a	-0.589627797957679	-0.313754982757747
176.931796552	0	additional_draw_allowed	13	18	70	n/a	n/a	n/a	-0.589627797957679	-0.313754982757747
177.908814107	0	terminate_draw	13	18	70	n/a	n/a	left	-0.589627797957679	n/a
178.409624654	0	bet	13	18	70	n/a	low	left	n/a	n/a
180.92573139	3.05003301899998	initial_beads	16	14	70	n/a	n/a	n/a	-0.60879559985906	n/a
185.520212991	1.16062441700001	extra_bead	n/a	n/a	70	high	n/a	n/a	-0.60879559985906	-0.859880583731738
188.236648191	0	additional_draw_allowed	17	14	70	n/a	n/a	n/a	-0.60879559985906	-0.859880583731738
188.966054749	0	terminate_draw	17	14	70	n/a	n/a	left	-0.60879559985906	n/a
189.591149663	0	bet	17	14	70	n/a	high	right	n/a	n/a
194.107147209	3.04844823899998	initial_beads	17	13	70	n/a	n/a	n/a	-1.09459050204685	n/a
198.050671717	0	bet	17	13	70	n/a	high	right	n/a	n/a
201.067199838	3.04642105300002	initial_beads	15	5	170	n/a	n/a	n/a	-2.05610688680499	n/a
205.155388034	1.159523589	extra_bead	n/a	n/a	170	high	n/a	n/a	-2.05610688680499	-2.1267270006725
207.867236441	0	additional_draw_allowed	16	5	170	n/a	n/a	n/a	-2.05610688680499	-2.1267270006725
208.712572677	0	terminate_draw	16	5	170	n/a	n/a	left	-2.05610688680499	n/a
209.277158595	0	bet	16	5	170	n/a	high	right	n/a	n/a
212.792363675	3.049515318	initial_beads	13	17	70	n/a	n/a	n/a	-0.0885128587302129	n/a
216.770727457	0	bet	13	17	70	n/a	high	right	n/a	n/a
220.283217986	3.05022125599999	initial_beads	19	11	170	n/a	n/a	n/a	-1.81705013765952	n/a
223.378184479	1.155241023	extra_bead	n/a	n/a	170	low	n/a	n/a	-1.81705013765952	-1.6643221650255
224.583982985	0	additional_draw_allowed	19	12	170	n/a	n/a	n/a	-1.81705013765952	-1.6643221650255
225.374801631	0	terminate_draw	19	12	170	n/a	n/a	right	-1.81705013765952	n/a
225.997617356	0	bet	19	12	170	n/a	high	right	n/a	n/a
229.003566175	3.04530273	initial_beads	10	10	70	n/a	n/a	n/a	-0.138966595832955	n/a
232.089802138	1.15238024199999	extra_bead	n/a	n/a	70	high	n/a	n/a	-0.138966595832955	-0.359251370277085
233.793011378	0	additional_draw_allowed	11	10	70	n/a	n/a	n/a	-0.138966595832955	-0.359251370277085
234.812738535	0	terminate_draw	11	10	70	n/a	n/a	right	-0.138966595832955	n/a
235.479986136	0	bet	11	10	70	n/a	high	right	n/a	n/a
238.491303492	3.050182565	initial_beads	19	11	70	n/a	n/a	n/a	-1.81705013765952	n/a
242.364438651	0	bet	19	11	70	n/a	high	right	n/a	n/a
246.374556228	3.04990029099997	initial_beads	18	12	70	n/a	n/a	n/a	-1.49452550630108	n/a
249.469497342	1.15559418300001	extra_bead	n/a	n/a	70	high	n/a	n/a	-1.49452550630108	-1.6643221650255
252.679089668	0	additional_draw_allowed	19	12	70	n/a	n/a	n/a	-1.49452550630108	-1.6643221650255
253.622874571	0	terminate_draw	19	12	70	n/a	n/a	left	-1.49452550630108	n/a
254.148169391	0	bet	19	12	70	n/a	high	right	n/a	n/a
258.660753794	3.05509347699996	initial_beads	18	12	170	n/a	n/a	n/a	-1.49452550630108	n/a
263.761546275	1.16168151199997	extra_bead	n/a	n/a	170	high	n/a	n/a	-1.49452550630108	-1.6643221650255
265.479898145	0	additional_draw_allowed	19	12	170	n/a	n/a	n/a	-1.49452550630108	-1.6643221650255
266.927686228	0	terminate_draw	19	12	170	n/a	n/a	right	-1.49452550630108	n/a
267.464867521	0	bet	19	12	170	n/a	high	right	n/a	n/a
270.475295084	3.04913587700003	initial_beads	15	15	170	n/a	n/a	n/a	-0.138966595832955	n/a
274.430362141	0	bet	15	15	170	n/a	high	right	n/a	n/a
278.438778464	3.04707216500003	initial_beads	12	8	70	n/a	n/a	n/a	-1.09459050204685	n/a
282.48243945	0	bet	12	8	70	n/a	high	right	n/a	n/a
286.490935117	3.045679705	initial_beads	12	8	170	n/a	n/a	n/a	-1.09459050204685	n/a
290.077961423	1.15775669700002	extra_bead	n/a	n/a	170	high	n/a	n/a	-1.09459050204685	-1.30585515991628
292.286935317	0	additional_draw_allowed	13	8	170	n/a	n/a	n/a	-1.09459050204685	-1.30585515991628
292.960161264	0	terminate_draw	13	8	170	n/a	n/a	right	-1.09459050204685	n/a
293.441506635	0	bet	13	8	170	n/a	high	right	n/a	n/a
297.551528993	3.05028819800003	initial_beads	10	20	70	n/a	n/a	n/a	-1.4925306317869	n/a
300.646713984	1.156298139	extra_bead	n/a	n/a	70	high	n/a	n/a	-1.4925306317869	-1.3478457800959
301.853702746	0	additional_draw_allowed	11	20	70	n/a	n/a	n/a	-1.4925306317869	-1.3478457800959
