onset	duration	event_type	num_beads_high	num_beads_low	points_high	bead_type	bet_jar_type	button	initialVOI	updatedVOI
1.961163937	3.065383512	initial_beads	7	13	7	n/a	n/a	n/a	-1.79961680670884	n/a
5.595443649	1.384513302	extra_bead	n/a	n/a	7	high	n/a	n/a	-1.79961680670884	-1.58833812291982
7.036234106	0	additional_draw_allowed	8	13	7	n/a	n/a	n/a	-1.79961680670884	-1.58833812291982
8.396524642	0	terminate_draw	8	13	7	n/a	n/a	left	-1.79961680670884	n/a
8.846302891	0	bet	8	13	7	n/a	low	left	n/a	n/a
11.946259513	3.044044394	initial_beads	5	15	70	n/a	n/a	n/a	-1.89742428822289	n/a
15.530951817	1.153686272	extra_bead	n/a	n/a	70	high	n/a	n/a	-1.89742428822289	-1.94647871454116
17.235300029	0	additional_draw_allowed	6	15	70	n/a	n/a	n/a	-1.89742428822289	-1.94647871454116
17.947514351	0	terminate_draw	6	15	70	n/a	n/a	left	-1.89742428822289	n/a
18.264189896	0	bet	6	15	70	n/a	low	left	n/a	n/a
21.450925744	3.048867816	initial_beads	18	12	70	n/a	n/a	n/a	-1.61038043399938	n/a
25.292454426	0	bet	18	12	70	n/a	high	right	n/a	n/a
29.794051628	3.045506608	initial_beads	9	11	70	n/a	n/a	n/a	-0.869663288631855	n/a
34.880159279	1.15369703	extra_bead	n/a	n/a	70	high	n/a	n/a	-0.869663288631855	-0.809922418078171
37.585449168	0	additional_draw_allowed	10	11	70	n/a	n/a	n/a	-0.869663288631855	-0.809922418078171
38.479399656	0	terminate_draw	10	11	70	n/a	n/a	left	-0.869663288631855	n/a
39.105466213	0	bet	10	11	70	n/a	high	right	n/a	n/a
42.107676671	3.045737034	initial_beads	15	5	70	n/a	n/a	n/a	-2.37553074021502	n/a
45.695166477	1.17274105999999	extra_bead	n/a	n/a	70	low	n/a	n/a	-2.37553074021502	-2.12751860353776
47.418835812	0	additional_draw_allowed	15	6	70	n/a	n/a	n/a	-2.37553074021502	-2.12751860353776
48.422453787	0	terminate_draw	15	6	70	n/a	n/a	left	-2.37553074021502	n/a
49.070248328	0	bet	15	6	70	n/a	high	right	n/a	n/a
52.612200965	3.048922494	initial_beads	13	17	7	n/a	n/a	n/a	-1.32390665973505	n/a
55.705919626	1.151137955	extra_bead	n/a	n/a	7	high	n/a	n/a	-1.32390665973505	-1.06156710675566
56.913171714	0	additional_draw_allowed	14	17	7	n/a	n/a	n/a	-1.32390665973505	-1.06156710675566
59.257908425	0	terminate_draw	14	17	7	n/a	n/a	left	-1.32390665973505	n/a
59.566029928	0	bet	14	17	7	n/a	high	right	n/a	n/a
62.068508374	3.04537729799999	initial_beads	12	8	70	n/a	n/a	n/a	-1.65295917478599	n/a
65.157791998	1.164507348	extra_bead	n/a	n/a	70	high	n/a	n/a	-1.65295917478599	-1.63249142378056
68.374302206	0	additional_draw_allowed	13	8	70	n/a	n/a	n/a	-1.65295917478599	-1.63249142378056
69.534537504	0	additional_draw	n/a	n/a	70	high	n/a	left	-1.65295917478599	n/a
69.888022941	0	additional_draw	n/a	n/a	70	high	n/a	left	-1.65295917478599	n/a
70.235272871	0	additional_draw	n/a	n/a	70	high	n/a	left	-1.65295917478599	n/a
70.569097771	0	additional_draw	n/a	n/a	70	high	n/a	left	-1.65295917478599	n/a
70.851635875	0	additional_draw	n/a	n/a	70	low	n/a	left	-1.65295917478599	n/a
71.1154064	0	additional_draw	n/a	n/a	70	high	n/a	left	-1.65295917478599	n/a
71.366265481	0	additional_draw	n/a	n/a	70	low	n/a	left	-1.65295917478599	n/a
71.663545534	0	additional_draw	n/a	n/a	70	low	n/a	left	-1.65295917478599	n/a
72.220746464	0	additional_draw	n/a	n/a	70	high	n/a	left	-1.65295917478599	n/a
72.487231837	0	additional_draw	n/a	n/a	70	high	n/a	left	-1.65295917478599	n/a
72.759409882	0	additional_draw	n/a	n/a	70	high	n/a	left	-1.65295917478599	n/a
73.02782714	0	additional_draw	n/a	n/a	70	low	n/a	left	-1.65295917478599	n/a
73.273372155	0	additional_draw	n/a	n/a	70	high	n/a	left	-1.65295917478599	n/a
74.759361393	0	bet	22	12	70	n/a	high	right	n/a	n/a
78.271135705	3.04516220400001	initial_beads	11	9	7	n/a	n/a	n/a	-1.39008283120292	n/a
82.85802854	1.166679742	extra_bead	n/a	n/a	7	low	n/a	n/a	-1.39008283120292	-1.13178054515916
85.575805486	0	additional_draw_allowed	11	10	7	n/a	n/a	n/a	-1.39008283120292	-1.13178054515916
86.970865231	0	terminate_draw	11	10	7	n/a	n/a	right	-1.39008283120292	n/a
87.315709963	0	bet	11	10	7	n/a	high	right	n/a	n/a
90.825925557	3.04548761999999	initial_beads	15	5	7	n/a	n/a	n/a	-2.37553074021502	n/a
93.913065454	1.16060553099999	extra_bead	n/a	n/a	7	high	n/a	n/a	-2.37553074021502	-2.52253133076282
97.12608064	0	additional_draw_allowed	16	5	7	n/a	n/a	n/a	-2.37553074021502	-2.52253133076282
98.756618208	0	terminate_draw	16	5	7	n/a	n/a	right	-2.37553074021502	n/a
99.031684089	0	bet	16	5	7	n/a	high	right	n/a	n/a
102.04576734	3.046126453	initial_beads	7	13	70	n/a	n/a	n/a	-1.79961680670884	n/a
106.632404224	1.16438848199999	extra_bead	n/a	n/a	70	high	n/a	n/a	-1.79961680670884	-1.58833812291982
108.848179834	0	additional_draw_allowed	8	13	70	n/a	n/a	n/a	-1.79961680670884	-1.58833812291982
110.192445096	0	terminate_draw	8	13	70	n/a	n/a	right	-1.79961680670884	n/a
110.985315961	0	bet	8	13	70	n/a	low	left	n/a	n/a
113.9958737	3.04860689199998	initial_beads	14	16	70	n/a	n/a	n/a	-0.869663288631855	n/a
118.088540111	1.16378735500001	extra_bead	n/a	n/a	70	high	n/a	n/a	-0.869663288631855	-0.809922418078171
119.807250569	0	additional_draw_allowed	15	16	70	n/a	n/a	n/a	-0.869663288631855	-0.809922418078171
121.394426366	0	terminate_draw	15	16	70	n/a	n/a	right	-0.869663288631855	n/a
121.895900997	0	bet	15	16	70	n/a	high	right	n/a	n/a
125.399515747	3.04536363699998	initial_beads	14	6	7	n/a	n/a	n/a	-1.86417958275177	n/a
129.522127393	0	bet	14	6	7	n/a	high	right	n/a	n/a
134.024567659	3.04552190800001	initial_beads	5	15	7	n/a	n/a	n/a	-1.89742428822289	n/a
137.893872524	0	bet	5	15	7	n/a	low	left	n/a	n/a
140.396023678	3.04553118600001	initial_beads	9	11	7	n/a	n/a	n/a	-0.869663288631855	n/a
143.482957646	1.14835328500001	extra_bead	n/a	n/a	7	low	n/a	n/a	-0.869663288631855	-1.06156710675566
146.683293531	0	additional_draw_allowed	9	12	7	n/a	n/a	n/a	-0.869663288631855	-1.06156710675566
147.572975948	0	terminate_draw	9	12	7	n/a	n/a	left	-0.869663288631855	n/a
147.931301799	0	bet	9	12	7	n/a	low	left	n/a	n/a
150.932943858	3.04569240500001	initial_beads	6	14	70	n/a	n/a	n/a	-1.9678294270774	n/a
154.520655657	1.153980942	extra_bead	n/a	n/a	70	high	n/a	n/a	-1.9678294270774	-1.92671863808989
155.72748622	0	additional_draw_allowed	7	14	70	n/a	n/a	n/a	-1.9678294270774	-1.92671863808989
156.561402418	0	terminate_draw	7	14	70	n/a	n/a	left	-1.9678294270774	n/a
156.867425435	0	bet	7	14	70	n/a	high	right	n/a	n/a
159.367606982	3.04412613099998	initial_beads	13	7	7	n/a	n/a	n/a	-1.61038043399938	n/a
162.954218028	1.152490513	extra_bead	n/a	n/a	7	high	n/a	n/a	-1.61038043399938	-1.67697607350893
164.658332534	0	additional_draw_allowed	14	7	7	n/a	n/a	n/a	-1.61038043399938	-1.67697607350893
165.623832324	0	terminate_draw	14	7	7	n/a	n/a	left	-1.61038043399938	n/a
165.866572034	0	bet	14	7	7	n/a	high	right	n/a	n/a
170.369182953	3.04879018	initial_beads	20	10	70	n/a	n/a	n/a	-2.37553074021502	n/a
174.462543761	1.15873690399999	extra_bead	n/a	n/a	70	low	n/a	n/a	-2.37553074021502	-2.12751860353776
176.676251498	0	additional_draw_allowed	20	11	70	n/a	n/a	n/a	-2.37553074021502	-2.12751860353776
179.304118446	0	terminate_draw	20	11	70	n/a	n/a	left	-2.37553074021502	n/a
180.074169193	0	bet	20	11	70	n/a	high	right	n/a	n/a
199.730721863	3.04954904200002	initial_beads	15	15	70	n/a	n/a	n/a	-0.908549141821781	n/a
203.457873254	0	bet	15	15	70	n/a	high	right	n/a	n/a
206.470262079	3.04960773599998	initial_beads	12	18	7	n/a	n/a	n/a	-1.79961680670884	n/a
210.065089078	1.17536583200001	extra_bead	n/a	n/a	7	low	n/a	n/a	-1.79961680670884	-1.92671863808989
211.290378926	0	additional_draw_allowed	12	19	7	n/a	n/a	n/a	-1.79961680670884	-1.92671863808989
212.357489528	0	terminate_draw	12	19	7	n/a	n/a	right	-1.79961680670884	n/a
213.290545007	0	bet	12	19	7	n/a	high	right	n/a	n/a
215.788874471	3.04841424	initial_beads	16	14	70	n/a	n/a	n/a	-1.39008283120292	n/a
219.875013312	0	bet	16	14	70	n/a	high	right	n/a	n/a
223.873522353	3.04974783700001	initial_beads	19	11	7	n/a	n/a	n/a	-1.86417958275177	n/a
227.742247534	0	bet	19	11	7	n/a	high	right	n/a	n/a
230.745048791	3.04968397499999	initial_beads	14	16	7	n/a	n/a	n/a	-0.869663288631855	n/a
235.839551002	1.16081570299997	extra_bead	n/a	n/a	7	high	n/a	n/a	-0.869663288631855	-0.809922418078171
237.553636549	0	additional_draw_allowed	15	16	7	n/a	n/a	n/a	-0.869663288631855	-0.809922418078171
238.544327259	0	terminate_draw	15	16	7	n/a	n/a	left	-0.869663288631855	n/a
239.204988568	0	bet	15	16	7	n/a	high	right	n/a	n/a
241.706229673	3.04612097199998	initial_beads	12	8	7	n/a	n/a	n/a	-1.65295917478599	n/a
245.526492941	0	bet	12	8	7	n/a	high	right	n/a	n/a
249.527501097	3.04962835000003	initial_beads	19	11	70	n/a	n/a	n/a	-1.86417958275177	n/a
253.328707561	0	bet	19	11	70	n/a	high	right	n/a	n/a
257.350885022	3.04963096199998	initial_beads	10	20	7	n/a	n/a	n/a	-1.89742428822289	n/a
261.930548082	0	bet	10	20	7	n/a	low	left	n/a	n/a
278.184777543	3.04997017099998	initial_beads	17	13	7	n/a	n/a	n/a	-1.65295917478599	n/a
281.779966357	1.15851313400003	extra_bead	n/a	n/a	7	high	n/a	n/a	-1.65295917478599	-1.63249142378056
284.493044569	0	additional_draw_allowed	18	13	7	n/a	n/a	n/a	-1.65295917478599	-1.63249142378056
284.89720391	0	terminate_draw	18	13	7	n/a	n/a	right	-1.65295917478599	n/a
285.522316633	0	bet	18	13	7	n/a	high	right	n/a	n/a
290.033208145	3.04622459299998	initial_beads	14	6	70	n/a	n/a	n/a	-1.86417958275177	n/a
293.860264641	0	bet	14	6	70	n/a	high	right	n/a	n/a
297.365505263	3.046212862	initial_beads	8	12	7	n/a	n/a	n/a	-1.32390665973505	n/a
301.453130466	1.15463774299997	extra_bead	n/a	n/a	7	low	n/a	n/a	-1.32390665973505	-1.58833812291982
303.158898832	0	additional_draw_allowed	8	13	7	n/a	n/a	n/a	-1.32390665973505	-1.58833812291982
305.052613885	0	terminate_draw	8	13	7	n/a	n/a	left	-1.32390665973505	n/a
306.203697677	0	bet	8	13	7	n/a	low	left	n/a	n/a
309.704943982	3.04983022200003	initial_beads	16	14	7	n/a	n/a	n/a	-1.39008283120292	n/a
314.799917979	1.157617308	extra_bead	n/a	n/a	7	low	n/a	n/a	-1.39008283120292	-1.13178054515916
318.011934622	0	additional_draw_allowed	16	15	7	n/a	n/a	n/a	-1.39008283120292	-1.13178054515916
319.00591021	0	terminate_draw	16	15	7	n/a	n/a	left	-1.39008283120292	n/a
319.682267776	0	bet	16	15	7	n/a	high	right	n/a	n/a
322.18345984	3.04991742800001	initial_beads	17	13	70	n/a	n/a	n/a	-1.65295917478599	n/a
326.11851271	0	bet	17	13	70	n/a	high	right	n/a	n/a
330.123651485	3.04995961100002	initial_beads	13	17	70	n/a	n/a	n/a	-1.32390665973505	n/a
334.805387042	0	bet	13	17	70	n/a	high	right	n/a	n/a
337.808399071	3.04987673699998	initial_beads	12	18	70	n/a	n/a	n/a	-1.79961680670884	n/a
341.997615054	0	bet	12	18	70	n/a	high	right	n/a	n/a
345.503197275	3.05000593200003	initial_beads	18	12	7	n/a	n/a	n/a	-1.61038043399938	n/a
